branch_predictor,prefetcher,workload,TPRAC,TPRAC-TREFper4tREFI,TPRAC-TREFpertREFI
hashed_perceptron,no,602.gcc,0.9752735229759303,0.9849015317286655,1.0
hashed_perceptron,no,603.bwaves,0.9995585378774501,0.9992936606039202,1.0
hashed_perceptron,no,605.mcf,0.9508355534027608,0.9664971340921934,1.0
hashed_perceptron,no,607.cactuBSSN,0.9550684738105322,0.9586686432302696,1.0
hashed_perceptron,no,619.lbm,0.9364462637896342,0.9528897523069451,1.0
hashed_perceptron,no,620.omnetpp,0.9619299275787825,0.9723037776472891,1.0
hashed_perceptron,no,621.wrf,0.9998239746523498,0.9998239746523498,1.0
hashed_perceptron,no,623.xalancbmk,0.9876660341555978,0.991271347248577,1.0
hashed_perceptron,no,625.x264,0.9894254787676937,0.9924229808492921,1.0
hashed_perceptron,no,627.cam4,0.9665419783873648,0.9871155444721529,1.0
hashed_perceptron,no,628.pop2,0.9469290399522957,0.9580600278274696,1.0
hashed_perceptron,no,631.deepsjeng,0.9725893294175234,0.9799314733235438,1.0
hashed_perceptron,no,638.imagick,0.9977355734112492,0.9987582176771368,1.0
hashed_perceptron,no,641.leela,0.9992844876931883,0.9994275901545506,1.0
hashed_perceptron,no,644.nab,0.9954791154791155,0.9967567567567567,1.0
hashed_perceptron,no,648.exchange2,1.0,1.0,1.0
hashed_perceptron,no,649.fotonik3d,0.9435701586883519,0.9578586949364588,1.0
hashed_perceptron,no,654.roms,0.9516927412653107,0.9638689164288037,1.0
hashed_perceptron,no,657.xz,0.9664804469273741,0.9749637906062486,1.0
hashed_perceptron,no,cassandra,0.9484933986371379,0.9570911413969335,1.0
hashed_perceptron,no,classification,0.9544222173371437,0.9551061283310129,1.0
hashed_perceptron,no,cloud9,0.9344233473980311,0.9490154711673698,1.0
hashed_perceptron,no,nutch,0.9469822812846068,0.959717607973422,1.0
hashed_perceptron,spp_dev,401.bzip2,0.9310656775827755,0.9844400217115977,1.0
hashed_perceptron,spp_dev,403.gcc,0.9950689230079569,0.9940602936232208,1.0
hashed_perceptron,spp_dev,410.bwaves,0.9310571858540254,0.9525959367945822,1.0
hashed_perceptron,spp_dev,416.gamess,0.9997681428240204,0.9996522142360306,1.0
hashed_perceptron,spp_dev,429.mcf,0.9362490205855118,0.9566208419403092,1.0
hashed_perceptron,spp_dev,433.milc,0.9174599349319195,0.9264971683335341,1.0
hashed_perceptron,spp_dev,435.gromacs,0.9980905312815905,0.9991014264854544,1.0
hashed_perceptron,spp_dev,436.cactusADM,0.933588200346137,0.9651279931805854,1.0
hashed_perceptron,spp_dev,437.leslie3d,0.9320743809615569,0.9553906927449658,1.0
hashed_perceptron,spp_dev,444.namd,0.9964709932862799,0.9970735066276468,1.0
hashed_perceptron,spp_dev,445.gobmk,0.9992268610558871,0.9995582063176499,1.0
hashed_perceptron,spp_dev,447.dealII,0.9989614705576904,0.9995845882230762,1.0
hashed_perceptron,spp_dev,450.soplex,0.9353794759369454,0.9445662386470403,1.0
hashed_perceptron,spp_dev,453.povray,0.9997511818860412,0.9997511818860412,1.0
hashed_perceptron,spp_dev,454.calculix,0.9995510460626739,0.9995510460626739,1.0
hashed_perceptron,spp_dev,456.hmmer,0.9982352199672256,0.9989915542669862,1.0
hashed_perceptron,spp_dev,458.sjeng,0.9782747603833866,0.9833865814696485,1.0
hashed_perceptron,spp_dev,459.GemsFDTD,0.963350510043117,0.9736565359133451,1.0
hashed_perceptron,spp_dev,464.h264ref,0.972765181131092,0.9878811571540266,1.0
hashed_perceptron,spp_dev,465.tonto,0.996923753021314,0.9978026807295101,1.0
hashed_perceptron,spp_dev,470.lbm,0.9362158073868648,0.9483171561830328,1.0
hashed_perceptron,spp_dev,471.omnetpp,0.953358011634056,0.9649920676890534,1.0
hashed_perceptron,spp_dev,473.astar,0.970914308073562,0.9792617712273379,1.0
hashed_perceptron,spp_dev,481.wrf,0.9923816221284576,0.9942569151429912,1.0
hashed_perceptron,spp_dev,482.sphinx3,0.939996045867932,0.9402431791221826,1.0
hashed_perceptron,spp_dev,483.xalancbmk,0.9520266301155276,0.9635794008224005,1.0
hashed_perceptron,spp_dev,600.perlbench,0.9977603583426652,0.9980657640232108,1.0
hashed_perceptron,spp_dev,602.gcc,0.9774158523344193,0.9828447339847992,1.0
hashed_perceptron,spp_dev,603.bwaves,0.9987635785569194,0.9996467367305485,1.0
hashed_perceptron,spp_dev,605.mcf,0.9521628994544038,0.9692127825409198,1.0
hashed_perceptron,spp_dev,607.cactuBSSN,0.9469508456850229,0.9611958599300372,1.0
hashed_perceptron,spp_dev,619.lbm,0.9382165115026543,0.9610679387550973,1.0
hashed_perceptron,spp_dev,620.omnetpp,0.9603047313552525,0.971832397754611,1.0
hashed_perceptron,spp_dev,621.wrf,0.9996481351161155,1.0,1.0
hashed_perceptron,spp_dev,623.xalancbmk,0.9886428165814879,0.9916713988264244,1.0
hashed_perceptron,spp_dev,625.x264,0.988846059214303,0.9915525301402442,1.0
hashed_perceptron,spp_dev,627.cam4,0.9302891110510673,0.9561740070251283,1.0
hashed_perceptron,spp_dev,628.pop2,0.9549389841688654,0.9513110158311345,1.0
hashed_perceptron,spp_dev,631.deepsjeng,0.9731543624161074,0.9801931576362742,1.0
hashed_perceptron,spp_dev,638.imagick,0.9994180971777714,0.9996363107361071,1.0
hashed_perceptron,spp_dev,641.leela,0.9994272623138604,0.9994272623138604,1.0
hashed_perceptron,spp_dev,644.nab,0.9912553439564711,0.9918383210260395,1.0
hashed_perceptron,spp_dev,648.exchange2,0.9999169297225453,1.0,1.0
hashed_perceptron,spp_dev,649.fotonik3d,0.9602063375092114,0.9634303610906411,1.0
hashed_perceptron,spp_dev,654.roms,0.8990147783251231,0.941931631586804,1.0
hashed_perceptron,spp_dev,657.xz,0.9641466912517925,0.9698832206515058,1.0
hashed_perceptron,spp_dev,cassandra,0.9427211039516451,0.9634487084450019,1.0
hashed_perceptron,spp_dev,classification,0.9246126183298957,0.9595959595959596,1.0
hashed_perceptron,spp_dev,cloud9,0.9472916286704358,0.9336129855918293,1.0
hashed_perceptron,spp_dev,nutch,0.9356940619788233,0.9570647325757281,1.0
hashed_perceptron,va_ampm_lite,401.bzip2,0.9830535069825826,0.9890161619331554,1.0
hashed_perceptron,va_ampm_lite,403.gcc,0.9978867756645534,0.9974418863307752,1.0
hashed_perceptron,va_ampm_lite,410.bwaves,0.9293061224489796,0.9475918367346938,1.0
hashed_perceptron,va_ampm_lite,416.gamess,0.9998841519925856,0.9997683039851714,1.0
hashed_perceptron,va_ampm_lite,429.mcf,0.9413002314327794,0.9582018374360054,1.0
hashed_perceptron,va_ampm_lite,433.milc,0.9519031983461023,0.9643074303782074,1.0
hashed_perceptron,va_ampm_lite,435.gromacs,0.9994406533169259,0.9987694372972367,1.0
