branch_predictor,prefetcher,workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC,TPRAC-TREFper2tREFI,TPRAC-TREFper3tREFI,TPRAC-TREFper4tREFI,TPRAC-TREFpertREFI
bimodal,spp_dev,401.bzip2,1024.0,1.0,,,0.9841814370116256,,,0.9830379264341528,1.0
bimodal,spp_dev,403.gcc,1024.0,1.0,,,0.9938813207111523,,,0.999191872546756,1.0
bimodal,spp_dev,410.bwaves,1024.0,1.0,,,0.980333268746367,,,0.985758573919783,1.0
bimodal,spp_dev,416.gamess,1024.0,1.0,,,0.9997322623828648,,,0.9997322623828648,1.0
bimodal,spp_dev,429.mcf,1024.0,1.0,,,0.9429098966026587,,,0.9659527326440175,1.0
bimodal,spp_dev,433.milc,1024.0,1.0,,,0.9454789015405225,,,0.9517749497655728,1.0
bimodal,spp_dev,435.gromacs,1024.0,1.0,,,0.9987248150981892,,,0.9980872226472839,1.0
bimodal,spp_dev,436.cactusADM,1024.0,1.0,,,0.9533296439771258,,,0.989538039897752,1.0
bimodal,spp_dev,437.leslie3d,1024.0,1.0,,,0.9264557144921255,,,0.9697057265327746,1.0
bimodal,spp_dev,444.namd,1024.0,1.0,,,0.9952243647504055,,,0.9970264912596865,1.0
bimodal,spp_dev,445.gobmk,1024.0,1.0,,,0.9992348890589137,,,0.9996174445294568,1.0
bimodal,spp_dev,447.dealII,1024.0,1.0,,,0.99851665905979,,,0.9982884527612963,1.0
bimodal,spp_dev,450.soplex,1024.0,1.0,,,0.9758666081614743,,,0.977950855638438,1.0
bimodal,spp_dev,453.povray,1024.0,1.0,,,0.9995255416732564,,,0.9995255416732564,1.0
bimodal,spp_dev,454.calculix,1024.0,1.0,,,0.9994260130869015,,,0.9996556078521409,1.0
bimodal,spp_dev,456.hmmer,1024.0,1.0,,,0.9979800530236083,,,0.9987375331397551,1.0
bimodal,spp_dev,458.sjeng,1024.0,1.0,,,0.9859523809523809,,,0.9897619047619047,1.0
bimodal,spp_dev,459.GemsFDTD,1024.0,1.0,,,0.962603587538026,,,0.9712052868981433,1.0
bimodal,spp_dev,464.h264ref,1024.0,1.0,,,0.975747320924986,,,0.9827975183305134,1.0
bimodal,spp_dev,465.tonto,1024.0,1.0,,,0.9979231568016614,,,0.9981827622014539,1.0
bimodal,spp_dev,470.lbm,1024.0,1.0,,,0.9356858281161069,,,0.952127995952697,1.0
bimodal,spp_dev,471.omnetpp,1024.0,1.0,,,0.951639986566663,,,0.9621627672674353,1.0
bimodal,spp_dev,473.astar,1024.0,1.0,,,0.98407917383821,,,0.9888123924268504,1.0
bimodal,spp_dev,481.wrf,1024.0,1.0,,,0.9918954248366014,,,0.9899346405228758,1.0
bimodal,spp_dev,482.sphinx3,1024.0,1.0,,,0.955079721995094,,,0.9595257563368765,1.0
bimodal,spp_dev,483.xalancbmk,1024.0,1.0,,,0.9513278804402706,,,0.9636473795819449,1.0
bimodal,spp_dev,600.perlbench,1024.0,1.0,,,0.997859818084537,,,0.9981808453718565,1.0
bimodal,spp_dev,602.gcc,1024.0,1.0,,,0.9821039175877884,,,0.9873424066972453,1.0
bimodal,spp_dev,603.bwaves,1024.0,1.0,,,0.999142682180037,,,0.9998775260257196,1.0
bimodal,spp_dev,605.mcf,1024.0,1.0,,,0.9597429976909947,,,0.9648629655657062,1.0
bimodal,spp_dev,607.cactuBSSN,1024.0,1.0,,,0.9532966030576131,,,0.9740577224796585,1.0
bimodal,spp_dev,619.lbm,1024.0,1.0,,,0.939267822736031,,,0.9570712909441235,1.0
bimodal,spp_dev,620.omnetpp,1024.0,1.0,,,0.9612315875613747,,,0.9710515548281505,1.0
bimodal,spp_dev,621.wrf,1024.0,1.0,,,0.9992570579494798,,,0.9994427934621097,1.0
bimodal,spp_dev,623.xalancbmk,1024.0,1.0,,,0.9906661009758166,,,0.9927874416631309,1.0
bimodal,spp_dev,625.x264,1024.0,1.0,,,0.9904275092936803,,,0.9926579925650558,1.0
bimodal,spp_dev,627.cam4,1024.0,1.0,,,0.9400461183704844,,,0.9549247831338532,1.0
bimodal,spp_dev,628.pop2,1024.0,1.0,,,0.9459583142655072,,,0.9612264425677082,1.0
bimodal,spp_dev,631.deepsjeng,1024.0,1.0,,,0.977027027027027,,,0.9851351351351352,1.0
bimodal,spp_dev,638.imagick,1024.0,1.0,,,0.9989012598886609,,,0.9991210079109287,1.0
bimodal,spp_dev,641.leela,1024.0,1.0,,,0.9992826398852225,,,0.9992826398852225,1.0
bimodal,spp_dev,644.nab,1024.0,1.0,,,0.9928507596067918,,,0.9944891271969022,1.0
bimodal,spp_dev,648.exchange2,1024.0,1.0,,,1.0,,,1.0,1.0
bimodal,spp_dev,649.fotonik3d,1024.0,1.0,,,0.9285779191276693,,,0.9402089959109495,1.0
bimodal,spp_dev,654.roms,1024.0,1.0,,,0.9441305712492152,,,0.9580194601381044,1.0
bimodal,spp_dev,657.xz,1024.0,1.0,,,0.9729114500341453,,,0.9772365126337356,1.0
bimodal,spp_dev,cassandra,1024.0,1.0,,,0.9395908407343302,,,0.9671140368300086,1.0
bimodal,spp_dev,classification,1024.0,1.0,,,0.920940791383998,,,0.9642583744687591,1.0
bimodal,spp_dev,cloud9,1024.0,1.0,,,0.9382309941520467,,,0.9077119883040935,1.0
bimodal,spp_dev,nutch,1024.0,1.0,,,0.9480951263396699,,,0.9715246812172417,1.0
gshare,spp_dev,401.bzip2,1024.0,1.0,,,0.9204329661982529,,,0.9766426129889859,1.0
gshare,spp_dev,403.gcc,1024.0,1.0,,,0.993580926180651,,,0.9991976157725814,1.0
gshare,spp_dev,410.bwaves,1024.0,1.0,,,0.9319381255686988,,,0.9482256596906279,1.0
gshare,spp_dev,416.gamess,1024.0,1.0,,,0.9998716797125626,,,0.9998716797125626,1.0
gshare,spp_dev,429.mcf,1024.0,1.0,,,0.9461612213290065,,,0.9690242643262778,1.0
gshare,spp_dev,433.milc,1024.0,1.0,,,0.9194065281899109,,,0.9330563798219584,1.0
gshare,spp_dev,435.gromacs,1024.0,1.0,,,0.9979222683940355,,,0.9979222683940357,1.0
gshare,spp_dev,436.cactusADM,1024.0,1.0,,,0.9254147890208931,,,0.9679690700532569,1.0
gshare,spp_dev,437.leslie3d,1024.0,1.0,,,0.9264557144921255,,,0.9697057265327746,1.0
gshare,spp_dev,444.namd,1024.0,1.0,,,0.9975321699277278,,,0.9984135378106821,1.0
gshare,spp_dev,445.gobmk,1024.0,1.0,,,0.9992175273865413,,,0.9996087636932706,1.0
gshare,spp_dev,447.dealII,1024.0,1.0,,,0.998376974680805,,,0.9988097814325902,1.0
gshare,spp_dev,450.soplex,1024.0,1.0,,,0.9563714902807775,,,0.9636069114470843,1.0
gshare,spp_dev,453.povray,1024.0,1.0,,,0.9995475113122172,,,0.9996983408748115,1.0
gshare,spp_dev,454.calculix,1024.0,1.0,,,0.9997123405887429,,,0.9999041135295811,1.0
gshare,spp_dev,456.hmmer,1024.0,1.0,,,0.9977275596515592,,,0.9989900265118041,1.0
gshare,spp_dev,458.sjeng,1024.0,1.0,,,0.984402460456942,,,0.9887961335676625,1.0
gshare,spp_dev,459.GemsFDTD,1024.0,1.0,,,0.9646287063762793,,,0.9701915507740752,1.0
gshare,spp_dev,464.h264ref,1024.0,1.0,,,0.9867757327880026,,,0.9914110429447852,1.0
gshare,spp_dev,465.tonto,1024.0,1.0,,,0.9974377745241583,,,0.9980478282088824,1.0
gshare,spp_dev,470.lbm,1024.0,1.0,,,0.9375236652783036,,,0.9550044175186168,1.0
gshare,spp_dev,471.omnetpp,1024.0,1.0,,,0.9562115891132572,,,0.9674056189640035,1.0
gshare,spp_dev,473.astar,1024.0,1.0,,,0.9742326105322444,,,0.9818361025063365,1.0
gshare,spp_dev,481.wrf,1024.0,1.0,,,0.9928324270884823,,,0.994686109738013,1.0
gshare,spp_dev,482.sphinx3,1024.0,1.0,,,0.9159700835899691,,,0.9341545681184923,1.0
gshare,spp_dev,483.xalancbmk,1024.0,1.0,,,0.9522530587884214,,,0.9640903212971252,1.0
gshare,spp_dev,600.perlbench,1024.0,1.0,,,0.9976518305048566,,,0.9982922403671685,1.0
gshare,spp_dev,602.gcc,1024.0,1.0,,,0.979019272993413,,,0.9804830446450353,1.0
gshare,spp_dev,603.bwaves,1024.0,1.0,,,0.9998904349731567,,,0.9997808699463132,1.0
gshare,spp_dev,605.mcf,1024.0,1.0,,,0.9587282780410743,,,0.9728475513428121,1.0
gshare,spp_dev,607.cactuBSSN,1024.0,1.0,,,0.9612206436648303,,,0.9544795592925486,1.0
gshare,spp_dev,619.lbm,1024.0,1.0,,,,,,,
gshare,spp_dev,620.omnetpp,1024.0,1.0,,,0.9632733291951169,,,0.9712393958204014,1.0
gshare,spp_dev,621.wrf,1024.0,1.0,,,0.999451453647833,,,0.9998171512159444,1.0
gshare,spp_dev,623.xalancbmk,1024.0,1.0,,,0.987835051546392,,,0.9911340206185568,1.0
gshare,spp_dev,625.x264,1024.0,1.0,,,0.989862600536193,,,0.9928786863270779,1.0
gshare,spp_dev,627.cam4,1024.0,1.0,,,0.9432744379410317,,,0.9637328373721349,1.0
gshare,spp_dev,628.pop2,1024.0,1.0,,,0.9177059402691173,,,0.9341565474236955,1.0
gshare,spp_dev,631.deepsjeng,1024.0,1.0,,,0.9750727802037845,,,0.9819868995633187,1.0
gshare,spp_dev,638.imagick,1024.0,1.0,,,0.9991984844068784,,,0.9994170795686388,1.0
gshare,spp_dev,641.leela,1024.0,1.0,,,0.999321343739396,,,1.000169664065151,1.0
gshare,spp_dev,644.nab,1024.0,1.0,,,0.9944723618090452,,,0.9959798994974873,1.0
gshare,spp_dev,648.exchange2,1024.0,1.0,,,0.9998960282803078,,,0.9998960282803078,1.0
gshare,spp_dev,649.fotonik3d,1024.0,1.0,,,0.925579690220878,,,0.9643479057831547,1.0
gshare,spp_dev,654.roms,1024.0,1.0,,,0.9471036705179596,,,0.9932405879116561,1.0
gshare,spp_dev,657.xz,1024.0,1.0,,,0.968970070422535,,,0.976012323943662,1.0
gshare,spp_dev,cassandra,1024.0,1.0,,,,,,,
gshare,spp_dev,classification,1024.0,1.0,,,0.9494798612963457,,,0.9688716991197652,1.0
gshare,spp_dev,cloud9,1024.0,1.0,,,0.9367732558139535,,,0.9186046511627908,1.0
gshare,spp_dev,nutch,1024.0,1.0,,,0.9416602017067496,,,0.9590768037238169,1.0
