workload,NRH,Prac Level,ABO_Only,ABO_RFM,TPRAC
401.bzip2,1024.0,1.0,1.0,1.0043423195223449,0.9310656775827755
403.gcc,1024.0,1.0,0.999439650341813,0.9995517202734505,0.9950689230079569
410.bwaves,1024.0,1.0,1.0,0.9876787057938297,0.9310571858540254
416.gamess,1024.0,1.0,1.0,1.0001159285879897,0.9997681428240204
429.mcf,1024.0,1.0,1.0,0.9804829403803691,0.9362490205855118
433.milc,1024.0,1.0,1.0,0.9736112784672852,0.9174599349319195
435.gromacs,1024.0,1.0,1.0,0.9986521397281817,0.9980905312815905
436.cactusADM,1024.0,1.0,1.0,0.9908557848784646,0.933588200346137
437.leslie3d,1024.0,1.0,1.0,0.9881491473166972,0.9320743809615569
444.namd,1024.0,1.0,1.0,0.9997417799965571,0.9964709932862799
445.gobmk,1024.0,1.0,1.0,1.0002208968411752,0.9992268610558871
447.dealII,1024.0,1.0,1.0,1.000103852944231,0.9989614705576904
450.soplex,1024.0,1.0,1.0,0.9825660298569787,0.9353794759369454
453.povray,1024.0,1.0,1.0,0.9998755909430205,0.9997511818860412
454.calculix,1024.0,1.0,1.0,1.0,0.9995510460626739
456.hmmer,1024.0,1.0,1.0,1.0002521114332537,0.9982352199672256
458.sjeng,1024.0,1.0,1.0,0.9987220447284345,0.9782747603833866
459.GemsFDTD,1024.0,1.0,1.0,0.9945840782416658,0.963350510043117
464.h264ref,1024.0,1.0,1.0,0.9911389106072452,0.972765181131092
465.tonto,1024.0,1.0,1.0,1.0001098659635244,0.996923753021314
470.lbm,1024.0,1.0,1.0,0.9679818479768058,0.9362158073868648
471.omnetpp,1024.0,1.0,1.0,0.9885774722369117,0.953358011634056
473.astar,1024.0,1.0,1.0,0.9977827050997782,0.970914308073562
481.wrf,1024.0,1.0,1.0,0.9994139709329581,0.9923816221284576
482.sphinx3,1024.0,1.0,1.0,0.9856168446026097,0.939996045867932
483.xalancbmk,1024.0,1.0,1.0,0.9931466614450752,0.9520266301155276
600.perlbench,1024.0,1.0,1.0,0.9997963962129695,0.9977603583426652
603.bwaves,1024.0,1.0,1.0,1.0001766316347256,0.9987635785569194
605.mcf,1024.0,1.0,1.0,0.9932774746687453,0.9521628994544038
607.cactuBSSN,1024.0,1.0,1.0,0.9859353023909986,0.9469508456850229
619.lbm,1024.0,1.0,1.0,0.9782257444025545,0.9382165115026543
620.omnetpp,1024.0,1.0,1.0,0.9939855653568564,0.9603047313552525
621.wrf,1024.0,1.0,1.0,1.0,0.9996481351161155
623.xalancbmk,1024.0,1.0,1.0,0.9988642816581489,0.9886428165814879
625.x264,1024.0,1.0,1.0,0.9993438858361353,0.988846059214303
627.cam4,1024.0,1.0,0.9981626587408808,0.9952985679546069,0.9302891110510673
628.pop2,1024.0,1.0,1.0000824538258573,0.988126649076517,0.9549389841688654
631.deepsjeng,1024.0,1.0,1.0,0.9996726141758062,0.9731543624161074
638.imagick,1024.0,1.0,1.0,1.0001454757055572,0.9994180971777714
641.leela,1024.0,1.0,1.0,0.9997136311569301,0.9994272623138604
644.nab,1024.0,1.0,1.0,0.9966964632724445,0.9912553439564711
648.exchange2,1024.0,1.0,1.0,1.0,0.9999169297225453
649.fotonik3d,1024.0,1.0,1.0046978629329402,0.9840641120117907,0.9602063375092114
654.roms,1024.0,1.0,1.0,0.9783549783549784,0.8990147783251231
657.xz,1024.0,1.0,1.0,0.9928293382503585,0.9641466912517925
cassandra,1024.0,1.0,0.9973769743969891,0.974824656440668,0.9427211039516451
classification,1024.0,1.0,0.9975672959966154,0.9948966100798562,0.9246126183298957
cloud9,1024.0,1.0,1.0018238190771476,0.985774211198249,0.9472916286704358
nutch,1024.0,1.0,1.0012411278749564,0.97610828840709,0.9356940619788233
SPEC2K6 (26),1024.0,1.0,0.9999766458263493,0.9945172319890933,0.9706274803625055
SPEC2K17 (20),1024.0,1.0,1.0001542372406997,0.9938947856203095,0.9702692053815332
CloudSuite (4),1024.0,1.0,0.9995002190954256,0.9828675059676066,0.9375407526683345
All (50),1024.0,1.0,1.0000000214731677,0.9924749399789954,0.965541484980628
