workload,PSQ_size,QPRAC,QPRAC+1Proactive_per_4tREFI,QPRAC+1Proactive_per_2tREFI,QPRAC+1Proactive_per_1tREFI
470.lbm,5.0,0.9675088687002454,0.99443642097618,1.0,
471.omnetpp,1.0,0.8367113375816523,0.914110225529467,0.9856165973440632,1.0
471.omnetpp,2.0,0.9303558577960841,0.9428580995281951,1.000988106468739,1.0
471.omnetpp,3.0,0.9518210524723361,0.9618241779881899,0.9903893725977444,1.0
471.omnetpp,4.0,0.935606167310474,0.969078003887891,0.998829607482465,1.0
471.omnetpp,5.0,0.9421229072559015,0.9807062230240992,0.9996765284935863,1.0
473.astar,1.0,0.9994241447761203,1.0,1.0,1.0
473.astar,2.0,0.9992680938725161,1.0,1.0,1.0
473.astar,3.0,0.999375206117288,1.0,1.0,1.0
473.astar,4.0,0.9992870882824305,1.0,1.0,
473.astar,5.0,0.9995134599219557,1.0,1.0,1.0
481.wrf,1.0,1.0,1.0,1.0,1.0
481.wrf,2.0,1.0,1.0,1.0,1.0
481.wrf,3.0,1.0,1.0,1.0,1.0
481.wrf,4.0,1.0,1.0,1.0,1.0
481.wrf,5.0,1.0,1.0,1.0,1.0
482.sphinx3,1.0,0.7994825075953196,0.902351466708429,1.000875573073967,1.0
482.sphinx3,2.0,0.9699234503916623,0.9941213894008561,1.0,1.0
482.sphinx3,3.0,0.9723318954730586,0.995115530999425,1.0,1.0
482.sphinx3,4.0,0.9723442079252254,0.9956173255622041,1.0,1.0
482.sphinx3,5.0,0.9728039475297717,0.9960914948451145,1.0,1.0
483.xalancbmk,1.0,0.8782506726136642,0.9137855530425133,1.0002113087010482,1.0
483.xalancbmk,2.0,0.9182237125014244,0.951260508808039,1.0004199089026684,1.0
483.xalancbmk,3.0,0.9546002148496507,0.9720836712488451,1.0008329112963017,1.0
483.xalancbmk,4.0,0.9591397485045693,0.9766121035510092,1.001301174912001,1.0
483.xalancbmk,5.0,0.9576625530256256,0.9866299850519465,1.0,1.0
500.perlbench,1.0,0.9993320610653358,1.0,1.0,1.0
500.perlbench,2.0,0.9993275593075104,1.0,1.0,1.0
500.perlbench,3.0,0.9993650148950199,1.0,1.0,1.0
500.perlbench,4.0,0.999182737075165,1.0,1.0,1.0
500.perlbench,5.0,0.9995928510585186,1.0,1.0,1.0
502.gcc,1.0,0.9974119671652795,1.0,1.0,1.0
502.gcc,2.0,0.9992115973304356,1.0,1.0,1.0
502.gcc,3.0,0.9983066844018591,1.0,1.0,1.0
502.gcc,4.0,0.9992544605093615,1.0,1.0,1.0
502.gcc,5.0,0.9972795838527516,1.0,1.0,1.0
505.mcf,1.0,0.9892047079991176,1.0,1.0,1.0
505.mcf,2.0,0.9995824432382658,1.0,1.0,1.0
505.mcf,3.0,0.9883374631956966,1.0,1.0,1.0
505.mcf,4.0,0.9831091815271061,1.0,1.0,1.0
505.mcf,5.0,0.9766080528568449,1.0,1.0,1.0
