workload,Channel,interface,PRAC_WO_Mitigation-ClosedCap4,Benchmark_Types
MIX24,1.0,17600.0,0.8892318271500521,MMMM (15)
MIX25,1.0,3200.0,0.9416943444008885,MMMM (15)
MIX25,1.0,6400.0,0.9015223188455251,MMMM (15)
MIX25,1.0,8800.0,0.8913565278291535,MMMM (15)
MIX25,1.0,12800.0,0.8857893186647333,MMMM (15)
MIX25,1.0,17600.0,0.8848358944563576,MMMM (15)
MIX26,1.0,3200.0,0.9254232151666649,MMMM (15)
MIX26,1.0,6400.0,0.8823408709774141,MMMM (15)
MIX26,1.0,8800.0,0.8765829543934578,MMMM (15)
MIX26,1.0,12800.0,0.873761832945711,MMMM (15)
MIX26,1.0,17600.0,0.8720849052301879,MMMM (15)
MIX27,1.0,3200.0,0.954794420257377,MMMM (15)
MIX27,1.0,6400.0,0.8947714466438655,MMMM (15)
MIX27,1.0,8800.0,0.8791648178613055,MMMM (15)
MIX27,1.0,12800.0,0.8739530053552599,MMMM (15)
MIX27,1.0,17600.0,0.8745281594921532,MMMM (15)
MIX28,1.0,3200.0,0.9488828565921186,MMMM (15)
MIX28,1.0,6400.0,0.9026506212354244,MMMM (15)
MIX28,1.0,8800.0,0.8937543696909834,MMMM (15)
MIX28,1.0,12800.0,0.8935926142380531,MMMM (15)
MIX28,1.0,17600.0,0.8919887818167586,MMMM (15)
MIX29,1.0,3200.0,0.9491305146709768,MMMM (15)
MIX29,1.0,6400.0,0.8983641110219663,MMMM (15)
MIX29,1.0,8800.0,0.8836964688806338,MMMM (15)
MIX29,1.0,12800.0,0.8780924420988494,MMMM (15)
MIX29,1.0,17600.0,0.8794320061409324,MMMM (15)
MIX3,1.0,3200.0,0.9787410019887568,HHHH (15)
MIX3,1.0,6400.0,0.9101566144069231,HHHH (15)
MIX3,1.0,8800.0,0.8536419528524554,HHHH (15)
MIX3,1.0,12800.0,0.8211971715647219,HHHH (15)
MIX3,1.0,17600.0,0.8160535216399492,HHHH (15)
MIX30,1.0,3200.0,0.9872854169339484,LLLL (15)
MIX30,1.0,6400.0,0.9859449468610815,LLLL (15)
MIX30,1.0,8800.0,0.9853550445539231,LLLL (15)
MIX30,1.0,12800.0,0.9851014342184351,LLLL (15)
MIX30,1.0,17600.0,0.9847642043709001,LLLL (15)
MIX31,1.0,3200.0,0.9890457543395444,LLLL (15)
MIX31,1.0,6400.0,0.9882959096000913,LLLL (15)
MIX31,1.0,8800.0,0.9901437740304441,LLLL (15)
MIX31,1.0,12800.0,0.9897871200290861,LLLL (15)
MIX31,1.0,17600.0,0.9897011234814884,LLLL (15)
MIX32,1.0,3200.0,0.9827929603093484,LLLL (15)
MIX32,1.0,6400.0,0.9801455325688343,LLLL (15)
MIX32,1.0,8800.0,0.9808122626883921,LLLL (15)
MIX32,1.0,12800.0,0.9797338807902995,LLLL (15)
MIX32,1.0,17600.0,0.978643016896715,LLLL (15)
MIX33,1.0,3200.0,0.978582498450179,LLLL (15)
