workload,BAT,RFMab-Reset,RFMsb-Reset
401.bzip2,40.0,0.9801843883573962,0.9955394484592082
401.bzip2,70.0,0.9976861659536476,1.0032841203391047
401.bzip2,100.0,0.9937845697536144,0.9991673313730509
401.bzip2,140.0,0.9923299370871105,1.0072538918554306
403.gcc,40.0,0.9979249615913108,0.9993101133059004
403.gcc,70.0,0.9987578740282562,0.9991416146860843
403.gcc,100.0,0.9985962024659482,0.9995207804092365
403.gcc,140.0,0.9991895567608575,0.9993108965039409
429.mcf,40.0,,0.9208851600315558
429.mcf,70.0,0.9291917577838438,0.9536918108557737
429.mcf,100.0,0.951668079482343,0.9674641979239292
429.mcf,140.0,0.9658149171241373,0.9770059276808208
433.milc,40.0,0.9336445216825724,0.9656440127131519
433.milc,70.0,0.9647312587145908,0.980771874064979
433.milc,100.0,0.9762803669520801,0.9865186659515851
433.milc,140.0,0.983755147625703,0.9905239789152411
434.zeusmp,40.0,0.8858899983994004,0.9484005713274836
434.zeusmp,70.0,0.9426412423042598,0.9732223508957317
434.zeusmp,100.0,0.9636695402508197,0.9821336057824277
434.zeusmp,140.0,0.9760454590056132,0.9876005834271622
435.gromacs,40.0,0.9874361817014992,0.9939658002241284
435.gromacs,70.0,0.9928848411959547,0.9980998936851628
435.gromacs,100.0,0.9952374595727533,0.9986236156171734
435.gromacs,140.0,0.9974680940895306,0.9995292419272775
436.cactusADM,40.0,0.9362501863828462,0.9711578995682272
436.cactusADM,70.0,0.9696742447338799,0.9845158792813784
436.cactusADM,100.0,0.9767974412954652,0.9888917972928037
436.cactusADM,140.0,0.9831582237871734,0.9930030731922789
437.leslie3d,40.0,0.9124371083352827,0.9547319253741259
437.leslie3d,70.0,0.9546044696977602,0.9758833336288162
437.leslie3d,100.0,0.9701239324327506,0.9836632937181943
437.leslie3d,140.0,0.9794405486865373,0.9878492630782655
444.namd,40.0,0.9999756548491344,1.0001121092544742
444.namd,70.0,1.0000758218575823,1.0003940819357624
444.namd,100.0,1.0000490937347328,1.0002031006932688
444.namd,140.0,1.0000340022095942,1.0003135231727738
445.gobmk,40.0,0.9913816652303836,0.99817567367213
445.gobmk,70.0,0.9971683862843356,0.9995494392727117
445.gobmk,100.0,0.9972247249420773,0.999664143904488
445.gobmk,140.0,0.9979482127547296,0.9990067563258639
447.dealII,40.0,0.9994000570295184,0.9999942058194022
447.dealII,70.0,1.0001667981289384,0.9999129688469215
447.dealII,100.0,1.0001076674270608,0.9999022433078298
447.dealII,140.0,1.0000185492109899,0.9997121814534692
450.soplex,40.0,0.9331995643007808,0.9938042805987382
450.soplex,70.0,0.9638838800380444,0.9868261409705401
450.soplex,100.0,0.9539684453977115,0.9869115946247129
450.soplex,140.0,0.9882444213929057,1.008722335707045
456.hmmer,40.0,0.9308530925955378,0.9699439621421633
456.hmmer,70.0,0.9633030705490244,0.9693234261108988
456.hmmer,100.0,0.9920102307762634,0.9886720317572311
456.hmmer,140.0,0.9753533671541198,0.9799081099944662
458.sjeng,40.0,0.9935193865418528,0.9978959538379719
458.sjeng,70.0,0.9965733394175585,0.998772054262307
458.sjeng,100.0,0.9976587914193131,0.9990075590002168
458.sjeng,140.0,0.9985964626375815,0.9992520627129032
459.GemsFDTD,40.0,0.8902242013178931,0.9418758744238167
459.GemsFDTD,70.0,0.9443872258785122,0.9692051867913011
459.GemsFDTD,100.0,0.9633862725729999,0.9783509153014351
459.GemsFDTD,140.0,0.9757562457272975,0.9853556110487816
462.libquantum,40.0,0.9334068382831939,0.9650164821680082
462.libquantum,70.0,0.9649243963532942,0.980341295747751
462.libquantum,100.0,0.9769231785919136,0.9864951949442894
462.libquantum,140.0,0.9837633948585381,0.9905767866596233
464.h264ref,40.0,0.9936202309514478,1.0031122284817395
464.h264ref,70.0,0.9978587519703198,1.0026301431951472
464.h264ref,100.0,1.000936918300713,0.9991787786106264
464.h264ref,140.0,0.9979332074948042,0.9953517922438923
470.lbm,40.0,0.8638071809437583,0.9360732561527209
470.lbm,70.0,0.9302192000230264,0.9659685490215255
470.lbm,100.0,0.9541542630162546,0.976589815855473
470.lbm,140.0,0.9687249653296732,0.9835731248520052
471.omnetpp,40.0,0.914534671989267,0.9411350386988655
471.omnetpp,70.0,0.9569982713394874,0.9683370953701281
471.omnetpp,100.0,0.9646828722099671,0.980512176183193
471.omnetpp,140.0,0.9758470200324594,0.9829965074685212
473.astar,40.0,0.9292545986388693,0.9676810475055201
473.astar,70.0,0.963503166898159,0.9826377419895838
473.astar,100.0,0.9759695314714513,0.9881302719988563
473.astar,140.0,0.9835654922927506,0.991806368878177
481.wrf,40.0,0.9995443085244572,0.9997255349277003
481.wrf,70.0,0.9997065479893753,1.00010251550682
481.wrf,100.0,1.0000905814783843,0.9998326374959651
481.wrf,140.0,1.0000058688265905,0.9999256068403686
482.sphinx3,40.0,0.9405740873521946,0.9660248796908195
482.sphinx3,70.0,0.9704858262325682,0.9821958397613612
482.sphinx3,100.0,0.9848558033511899,0.9880338089308641
482.sphinx3,140.0,0.9894133837899661,0.9900052737829521
483.xalancbmk,40.0,0.9252584944191824,0.9455016951699033
483.xalancbmk,70.0,0.9575200663553459,0.9704799629952223
483.xalancbmk,100.0,0.972235111698398,0.9782905481631504
483.xalancbmk,140.0,0.9839351767276036,0.9872797444145667
500.perlbench,40.0,0.9797795686252596,0.9928764625880852
500.perlbench,70.0,0.9890275344761201,0.9956954145023102
500.perlbench,100.0,0.9927702848422109,0.9968121928623674
500.perlbench,140.0,0.994667763530223,0.9974822331254805
502.gcc,40.0,0.9888001106320138,0.9938260161892762
502.gcc,70.0,0.9947338095896965,1.001240972220065
502.gcc,100.0,1.0037698426024662,1.0017292704239698
502.gcc,140.0,1.0004779878889183,0.998960397772198
505.mcf,40.0,0.9470757438757127,0.961196984039154
505.mcf,70.0,0.9830439596752448,0.9749319180249724
505.mcf,100.0,0.9786767875576251,0.9814025183307634
505.mcf,140.0,0.9840560573056202,0.9863993818985548
507.cactuBSSN,40.0,0.9635917242216606,0.978019437865349
507.cactuBSSN,70.0,0.9808880008654576,0.9885637310475501
507.cactuBSSN,100.0,0.9864436255392254,0.9922540202480358
507.cactuBSSN,140.0,0.9904552611479162,0.9935732201938486
508.namd,40.0,0.9959123481523495,0.9992155796402868
508.namd,70.0,0.9987545693642053,0.999101326939002
508.namd,100.0,0.9985459506584148,1.0001825585659458
508.namd,140.0,0.9992731860586992,1.0001827830312569
510.parest,40.0,0.941964800604739,0.9614285926821032
510.parest,70.0,0.9724086250560078,0.9793712454430481
510.parest,100.0,0.9790456875529292,0.9874537278418768
510.parest,140.0,0.9859483945716757,0.9891292061649474
511.povray,40.0,0.9999805928233895,0.9999630820942532
511.povray,70.0,0.9999556478784585,1.0000307492143858
511.povray,100.0,1.0,1.0000055216746668
511.povray,140.0,0.9999999999999999,0.9999804789633898
519.lbm,40.0,0.8758046625362301,0.9409087463260107
519.lbm,70.0,0.9376449137773887,0.9686420303762461
519.lbm,100.0,0.9594262115081444,0.9786331895374581
519.lbm,140.0,0.972482576303704,0.9852534122153438
520.omnetpp,40.0,0.9211253097608106,0.9580599805301108
520.omnetpp,70.0,0.9588670701843385,0.976764348263131
520.omnetpp,100.0,0.9726218442338637,0.9846364315475453
520.omnetpp,140.0,0.9815715165124816,0.9894698444646253
523.xalancbmk,40.0,0.9763309791348058,0.9891367614838851
523.xalancbmk,70.0,0.9887401098994814,0.9925886279208189
523.xalancbmk,100.0,0.9934924840635246,0.9952454235378689
523.xalancbmk,140.0,0.9923507544958046,0.9960044499876852
525.x264,40.0,0.9960331882640814,0.998697870912499
525.x264,70.0,0.9986404085633099,0.9993676357534593
525.x264,100.0,0.9987474182546944,0.9999947874890281
525.x264,140.0,0.9992609337721956,0.9996161741145998
526.blender,40.0,0.9975359518695788,0.9989868530183761
526.blender,70.0,0.9987499057314573,0.9989758773496271
526.blender,100.0,0.998342767287198,0.9983033387115047
526.blender,140.0,0.9994997120325692,0.9996354736913313
531.deepsjeng,40.0,0.9950913435495631,0.9984904079903854
531.deepsjeng,70.0,0.9973370854303557,0.9991217108668294
531.deepsjeng,100.0,0.9977874649703651,0.9993468144169269
531.deepsjeng,140.0,0.9990715037762307,0.9992516831938159
538.imagick,40.0,1.0000376059881095,1.0
538.imagick,70.0,0.9999759213530953,1.0
538.imagick,100.0,1.0,1.0
538.imagick,140.0,1.0,1.0
541.leela,40.0,0.9999125352796725,1.0000210451409004
541.leela,70.0,0.9998692398751117,1.0000186122470451
541.leela,100.0,1.0000231672936142,0.9999953819247441
541.leela,140.0,0.9998654613128445,0.9998440693226379
544.nab,40.0,0.998280609671636,0.9993730211484453
544.nab,70.0,0.9987361577128103,0.9992117894441134
544.nab,100.0,0.9995213593020551,0.9998510596788756
544.nab,140.0,0.9997361762250009,0.9997549709728364
549.fotonik3d,40.0,0.8891296764402238,0.938501774964833
549.fotonik3d,70.0,0.9429740195414654,0.9671512471189624
549.fotonik3d,100.0,0.9628991467198137,0.977487540016627
549.fotonik3d,140.0,0.9748804057893785,0.9837944180851759
557.xz,40.0,0.9529966869514942,0.9762644323769186
557.xz,70.0,0.9771350437518345,0.9898640951911012
557.xz,100.0,0.9847198234482134,0.9912280472195614
557.xz,140.0,0.98932951431577,0.9942597974005456
grep_map0,40.0,0.9444881872526912,0.9779461686855345
grep_map0,70.0,0.9707486955013789,0.9863771775414284
grep_map0,100.0,0.9798551486309576,0.9923682288270972
grep_map0,140.0,0.9876194221217309,0.9928392535521657
h264_encode,40.0,0.9990622725663229,0.9995546991470322
h264_encode,70.0,0.9998465663011785,1.0001224358484426
h264_encode,100.0,0.9999490479837551,0.9998234026200828
h264_encode,140.0,0.9998404119846054,1.0003375277213793
jp2_decode,40.0,0.940171950329776,0.9737787676200658
jp2_decode,70.0,0.9699839991317115,0.9869621840809425
jp2_decode,100.0,0.98098623575779,0.9903416996011277
jp2_decode,140.0,0.9873939520104105,0.994175992827294
jp2_encode,40.0,0.9458796165889876,0.9781500156935151
jp2_encode,70.0,0.9756524665801577,0.9919058572883452
jp2_encode,100.0,0.9825404213217817,0.9925951733276617
jp2_encode,140.0,0.9890519866010804,0.9938564317444225
tpcc64,40.0,0.9627642636509194,0.980700445338867
tpcc64,70.0,0.9810617890632712,0.9905541584033787
tpcc64,100.0,0.9894480631910466,0.9956237796347517
tpcc64,140.0,0.9914663229653264,0.9958217593795444
tpch17,40.0,0.9488390355879788,0.9735378011469474
tpch17,70.0,0.9722475685895765,0.9865334287663922
tpch17,100.0,0.9809745218040015,0.9884828813664558
tpch17,140.0,0.9844912186598399,0.9959501655590842
tpch2,40.0,0.9362703885110966,0.9723271768748046
tpch2,70.0,0.9718523314308064,0.9872963485111917
tpch2,100.0,0.9779690000749641,0.9904338235768757
tpch2,140.0,0.9857982929315248,0.9928483520804501
tpch6,40.0,0.9792477171138146,0.985862101967081
tpch6,70.0,0.9842288914669156,0.9917613369440802
tpch6,100.0,0.9903142581376955,0.9961282881861123
tpch6,140.0,0.9907560824069352,0.9973338879551695
wc_8443,40.0,0.9336946409276754,0.9743128837412688
wc_8443,70.0,0.9655273212234169,0.985505950374984
wc_8443,100.0,0.9777136813017324,0.9898736049071931
wc_8443,140.0,0.9836283367026674,0.9930486784857249
wc_map0,40.0,0.9336821642257718,0.9732738794333726
wc_map0,70.0,0.9652797269272366,0.9853031925935767
wc_map0,100.0,0.9767068263181261,0.9895651238920273
wc_map0,140.0,0.9841376032112236,0.9924864463590983
ycsb_abgsave,40.0,0.9829398880809521,0.9971499347414916
ycsb_abgsave,70.0,0.9915661365816201,0.9969698072665736
ycsb_abgsave,100.0,0.9948575847280172,0.997913689963888
ycsb_abgsave,140.0,0.9957175326394146,0.9985494593519844
ycsb_aserver,40.0,0.9619212686470835,0.9828827903362608
ycsb_aserver,70.0,0.9784337292510953,0.9915339475426418
ycsb_aserver,100.0,0.9877835686667242,0.9940329716800895
ycsb_aserver,140.0,0.9888484575031637,0.9923233137419005
ycsb_bserver,40.0,0.9768276868977018,0.9887095568076498
ycsb_bserver,70.0,0.987201785469738,0.9934139268782369
ycsb_bserver,100.0,0.9915727084950506,0.9951936745068443
ycsb_bserver,140.0,0.9926919414495651,0.997604483066689
ycsb_cserver,40.0,0.9758875819832584,0.9890362694102148
ycsb_cserver,70.0,0.9871786904899167,0.9937268699834532
ycsb_cserver,100.0,0.9922470958194953,0.9940926494657981
