workload,BAT,RFMab-Reset,RFMsb-Reset
401.bzip2,40.0,0.9860818741408207,0.9735529705545944
401.bzip2,70.0,0.9885948430370594,0.9813695212339458
401.bzip2,100.0,0.9939584651235807,0.985552739430092
401.bzip2,140.0,0.9868225305478084,0.9876181439075794
403.gcc,40.0,0.999422567168946,0.9980784702907309
403.gcc,70.0,0.9996948588725593,0.9993356268323396
403.gcc,100.0,0.9995781030933453,0.9994718542194928
403.gcc,140.0,0.9999738563584538,1.0001903081173578
429.mcf,40.0,0.9197931282538971,0.8277350419205669
429.mcf,70.0,0.9568793718034004,0.8984035051004569
429.mcf,100.0,0.9711364260623351,0.9283000158618501
429.mcf,140.0,0.9801832632160349,0.9491102928547289
433.milc,40.0,0.9599077623006533,0.9235230750991283
433.milc,70.0,0.9788756784791549,0.9563502353866719
433.milc,100.0,0.9861308398124314,0.9694287856474378
433.milc,140.0,0.990368123791656,0.9783337817608582
434.zeusmp,40.0,0.9288172678685259,0.8790849460179936
434.zeusmp,70.0,0.9660679082459438,0.9361794635128741
434.zeusmp,100.0,0.9792227999856414,0.9576097365978726
434.zeusmp,140.0,0.9860956828890681,0.970411133819677
435.gromacs,40.0,0.9941214154546753,0.9894438906216223
435.gromacs,70.0,0.9978951753880775,0.9947450699817144
435.gromacs,100.0,0.9981379093248588,0.99687810808132
435.gromacs,140.0,0.9990022044740298,0.9976907185858653
436.cactusADM,40.0,0.9603012166944622,0.9208026634993841
436.cactusADM,70.0,0.9784406493532873,0.9583730781623636
436.cactusADM,100.0,0.9833432851162921,0.9727242767900254
436.cactusADM,140.0,0.9895195728827877,0.9777539784844907
437.leslie3d,40.0,0.9465921467879262,0.9063290664593241
437.leslie3d,70.0,0.9734729314478703,0.9489035609901063
437.leslie3d,100.0,0.9826000853755092,0.9638274578664396
437.leslie3d,140.0,0.9879696637041959,0.9760677314657528
444.namd,40.0,0.9996037933635847,0.9997934349302058
444.namd,70.0,0.99992249414231,0.9995228777135908
444.namd,100.0,0.9999221293354547,0.9999223947247906
444.namd,140.0,0.9996618785260818,1.0000773533534217
445.gobmk,40.0,0.9934449340488335,0.9909249580153277
445.gobmk,70.0,0.9962699756662068,0.9965923498014602
445.gobmk,100.0,0.9971821520189994,0.9973465799164262
445.gobmk,140.0,0.998670976264633,0.9981111337402616
447.dealII,40.0,0.9991451913579839,0.9995625184972247
447.dealII,70.0,0.9997469698943043,0.9999010756321316
447.dealII,100.0,0.9997739476569196,0.999961814984102
447.dealII,140.0,1.0000952519029902,0.9998439657685226
450.soplex,40.0,0.9527939986049816,0.8937385735999851
450.soplex,70.0,0.9599345600457483,0.9340562784663136
450.soplex,100.0,0.956382243913237,0.9716616448783976
450.soplex,140.0,0.9589769067104364,0.9527524249129055
456.hmmer,40.0,0.9987423891179418,1.0087358377307079
456.hmmer,70.0,1.0232202980027685,0.9980727740213305
456.hmmer,100.0,1.0123312512437206,1.009401974443167
456.hmmer,140.0,1.00065874767453,1.0123218751216045
458.sjeng,40.0,0.9946549027791235,0.992352710586652
458.sjeng,70.0,0.9976241263815494,0.9956403339234903
458.sjeng,100.0,0.9981581918256359,0.9969622230155653
458.sjeng,140.0,0.9983393901771455,0.9982646929328362
459.GemsFDTD,40.0,0.9315963282086478,0.8751369518758938
459.GemsFDTD,70.0,0.9680603883697966,0.93352721865371
459.GemsFDTD,100.0,0.9799047194729198,0.9549264641503817
459.GemsFDTD,140.0,0.9866838850480267,0.968047892722046
462.libquantum,40.0,0.9601860992985559,0.9384062668533626
462.libquantum,70.0,0.9805221288019742,0.9655502402482821
462.libquantum,100.0,0.986659146517444,0.9759166526217797
462.libquantum,140.0,0.9915025647284074,0.982622104062211
464.h264ref,40.0,0.9881689328254775,0.991566455310139
464.h264ref,70.0,0.9930346254365211,0.9929613335850769
464.h264ref,100.0,0.9920539437015693,0.9932503412889983
464.h264ref,140.0,0.9927142108789988,0.9962773576127149
470.lbm,40.0,0.9084515818943469,0.8491398489249189
470.lbm,70.0,0.9564956078366104,0.9184587828958528
470.lbm,100.0,0.9724412223462774,0.9441911810274211
470.lbm,140.0,0.9819538365350318,0.9614330998319978
471.omnetpp,40.0,0.9569111812989369,0.892425082733005
471.omnetpp,70.0,0.9716706441955706,0.9397511930857763
471.omnetpp,100.0,0.9856115936135349,0.9577006565820961
471.omnetpp,140.0,0.9916569124393106,0.9704094561353657
473.astar,40.0,0.955775959103612,0.9186226839807803
473.astar,70.0,0.978264941187096,0.956750257919011
473.astar,100.0,0.9856861000440846,0.9709247896215746
473.astar,140.0,0.9907470504281413,0.9800212769401314
481.wrf,40.0,0.9994457916983126,0.9994157851901877
481.wrf,70.0,0.999647538460053,0.9995468583269034
481.wrf,100.0,0.9997717954951146,0.9998279089748227
481.wrf,140.0,0.9999308555776298,0.9998463535160301
482.sphinx3,40.0,0.9672578473946749,0.9406347503146772
