workload,Nrh,prac-level,Benchmark_Types,QPRAC-ABO-Only,QPRAC-BAT-RFM,QPRAC-TPRAC-S
MIX0,256.0,1.0,HHHH (15),0.9999354666962932,0.834580454966725,0.8054373755559451
MIX0,512.0,1.0,HHHH (15),1.000049575468927,0.9390640553457857,0.9021820628879434
MIX0,512.0,2.0,HHHH (15),0.9999544735985968,0.9390640553457857,0.9021820628879434
MIX0,512.0,4.0,HHHH (15),0.9997823276667467,0.9390640553457857,0.9021820628879434
MIX0,1024.0,1.0,HHHH (15),0.999996430627511,0.9896659160090724,0.9752209185023509
MIX0,1024.0,2.0,HHHH (15),0.9999922719167933,0.9896659160090724,0.9752209185023509
MIX0,1024.0,4.0,HHHH (15),1.0000538579506657,0.9896659160090724,0.9752209185023509
MIX0,2048.0,1.0,HHHH (15),1.0,0.9948224357296831,0.987956739072538
MIX0,4096.0,1.0,HHHH (15),1.0,0.9948224357296831,0.987956739072538
MIX1,256.0,1.0,HHHH (15),0.998382354765858,0.8450617740471185,0.8009184522317295
MIX1,512.0,1.0,HHHH (15),0.9996388834385175,0.9387615569602513,0.8998589196535726
MIX1,512.0,2.0,HHHH (15),0.9997561358650499,0.9387615569602513,0.8998589196535726
MIX1,512.0,4.0,HHHH (15),0.9997370244604266,0.9387615569602513,0.8998589196535726
MIX1,1024.0,1.0,HHHH (15),0.99996490688904,0.9876003650955648,0.9768472709611938
MIX1,1024.0,2.0,HHHH (15),1.0001450879865708,0.9876003650955648,0.9768472709611938
MIX1,1024.0,4.0,HHHH (15),1.000208764810886,0.9876003650955648,0.9768472709611938
MIX1,2048.0,1.0,HHHH (15),1.0,0.9922330295817013,0.9885227299830592
MIX1,4096.0,1.0,HHHH (15),1.0,0.9922330295817013,0.9885227299830592
MIX10,256.0,1.0,HHHH (15),1.0000803726852998,0.8404581568037386,0.8028673081153901
MIX10,512.0,1.0,HHHH (15),0.9998432864355783,0.9417365936568715,0.9005266248702763
MIX10,512.0,2.0,HHHH (15),0.9998999734986759,0.9417365936568715,0.9005266248702763
MIX10,512.0,4.0,HHHH (15),0.9999549525483435,0.9417365936568715,0.9005266248702763
MIX10,1024.0,1.0,HHHH (15),1.000040034166811,0.9899205268065605,0.9750855969684524
