workload,BAT,RFMpb,RFMsb
401.bzip2,1.0,0.6623376564843303,0.35385008852346295
401.bzip2,2.0,0.7848348700442618,0.5500299890951238
401.bzip2,5.0,0.8982207449850725,0.7543221176543627
401.bzip2,10.0,0.9367299482039262,0.8390081935800883
401.bzip2,40.0,0.9735770885180507,0.956207659310742
401.bzip2,70.0,0.9902433998566609,0.9754933058146957
403.gcc,1.0,0.9522612760309277,0.879387302646375
403.gcc,2.0,0.9694249072750083,0.9329216355808582
403.gcc,5.0,0.9860316417753017,0.9694883082682773
403.gcc,10.0,0.9927050162557458,0.9844584090346424
403.gcc,40.0,0.9979377675333975,0.9962229990362425
403.gcc,70.0,0.9986034438893103,0.9975373035326642
429.mcf,1.0,0.28493166380475154,0.09158261401507096
429.mcf,2.0,0.4210345548384546,0.1706035387007227
429.mcf,5.0,0.5789104751040766,0.3204565073441713
429.mcf,10.0,0.6813616190551907,0.44826611365962055
429.mcf,40.0,0.8574307617292289,0.7043129184226729
429.mcf,70.0,0.9073445875696061,0.7896131819323677
433.milc,1.0,0.3716199069782917,0.14052332349217453
433.milc,2.0,0.5089440491523557,0.24805830616592706
433.milc,5.0,0.6725121542075508,0.4352201092518444
433.milc,10.0,0.7780976525670305,0.5846910133693891
433.milc,40.0,0.9216200808795381,0.8278665087953688
433.milc,70.0,0.9521154504931194,0.8900634118589306
434.zeusmp,1.0,0.3237993230276574,0.12174113839301871
434.zeusmp,2.0,0.47050011809951336,0.21651883787957232
434.zeusmp,5.0,0.6123802385968086,0.3863678857047916
434.zeusmp,10.0,0.7375011588913835,0.5273434296405255
434.zeusmp,40.0,0.9037812385608839,0.7834496681262204
434.zeusmp,70.0,0.9410631603108096,0.8570211970721472
435.gromacs,1.0,0.7594908534177065,0.499809731607003
435.gromacs,2.0,0.8625061377060914,0.6696247343397177
435.gromacs,5.0,0.9278184558441417,0.8276516233941995
435.gromacs,10.0,0.9597705057884083,0.8996028536765561
435.gromacs,40.0,0.9862980173233513,0.9708627371677688
435.gromacs,70.0,0.9931640924555808,0.9838984641443618
436.cactusADM,1.0,0.45903248447876915,0.18582418855277522
436.cactusADM,2.0,0.6064799269501835,0.3181435799874193
436.cactusADM,5.0,0.7524894058503457,0.5194103530438485
436.cactusADM,10.0,0.8323383988640809,0.6618462297721692
436.cactusADM,40.0,0.9375958945865935,0.8674239854937136
436.cactusADM,70.0,0.9644606525151133,0.9173442159607174
437.leslie3d,1.0,0.3203333446425506,0.12260364668766126
437.leslie3d,2.0,0.46535503283365004,0.21879786437540294
437.leslie3d,5.0,0.6247543651295011,0.39539954831063884
437.leslie3d,10.0,0.7343683764264415,0.5430201783862184
437.leslie3d,40.0,0.8974889457251684,0.7985399157111894
437.leslie3d,70.0,0.936996280789351,0.8681289182325322
444.namd,1.0,0.9877732161514506,0.9599137252026719
444.namd,2.0,0.9922373774430434,0.9802026173034581
444.namd,5.0,0.9957620915385,0.9918997132635445
444.namd,10.0,0.9976919428841466,0.9966944545959261
444.namd,40.0,0.9994370918746215,0.9996143582654713
444.namd,70.0,0.9998171970116533,0.999747079596442
445.gobmk,1.0,0.8305302394541829,0.5812424425831528
445.gobmk,2.0,0.9121754347209173,0.7809621858380092
445.gobmk,5.0,0.9576272106795225,0.9024054934659269
445.gobmk,10.0,0.977022704338339,0.9526467390300419
445.gobmk,40.0,0.9932454993151459,0.9866000772555918
445.gobmk,70.0,0.9962556225099519,0.991807895854244
447.dealII,1.0,0.9793584008047989,0.9451473129483198
447.dealII,2.0,0.9891196861412928,0.9720573022224769
447.dealII,5.0,0.9951119035081629,0.98813499887898
447.dealII,10.0,0.997185923818996,0.9949344637432836
447.dealII,40.0,0.9995648910197128,0.9993678560859738
447.dealII,70.0,1.0000643973189054,0.9993327933923393
450.soplex,1.0,0.3469590165974435,0.13201817010175768
450.soplex,2.0,0.49039803428078566,0.23647856345482776
450.soplex,5.0,0.6669240018240672,0.4106710147362659
450.soplex,10.0,0.7779517334512602,0.5824764951259843
450.soplex,40.0,0.915423708898032,0.8198356028220033
450.soplex,70.0,0.9570395737603477,0.8947671689740871
456.hmmer,1.0,0.7183772075979997,0.4903626646951171
456.hmmer,2.0,0.795297547124085,0.6260124961982002
456.hmmer,5.0,0.90742764775715,0.7895492900693906
456.hmmer,10.0,0.931025110148483,0.884509210651354
456.hmmer,40.0,0.9944221704086135,0.9513361108562248
456.hmmer,70.0,0.9819635242995478,0.9742901282934813
458.sjeng,1.0,0.8575226562859651,0.6267375654754556
458.sjeng,2.0,0.9276104447373955,0.8173461076138446
458.sjeng,5.0,0.9664281775599979,0.9233313898288694
458.sjeng,10.0,0.9817010151548269,0.9607517961178325
458.sjeng,40.0,0.994853081730717,0.9901154562292449
458.sjeng,70.0,0.9971460051506547,0.9940635016815635
459.GemsFDTD,1.0,0.3061779345641908,0.11653772598874483
459.GemsFDTD,2.0,0.4375717980854972,0.20785354198354888
459.GemsFDTD,5.0,0.5988594223714767,0.37040158624758684
459.GemsFDTD,10.0,0.7072785209991602,0.505991560785227
459.GemsFDTD,40.0,0.8827504886522453,0.7601162124371615
459.GemsFDTD,70.0,0.9260366872563732,0.8381738342364222
462.libquantum,1.0,0.23262723830234974,0.09255427797803653
462.libquantum,2.0,0.3895852237569445,0.17666376010581583
462.libquantum,5.0,0.553515658107752,0.363054499198859
462.libquantum,10.0,0.6753720560723665,0.5374178572107117
462.libquantum,40.0,0.876255603987749,0.8174216451813555
462.libquantum,70.0,0.9227981004654351,0.8851270746708672
464.h264ref,1.0,0.949709886838435,0.8177270378870042
464.h264ref,2.0,0.9778183818135244,0.9220643806380515
464.h264ref,5.0,0.9927378271112932,0.9713002630488455
464.h264ref,10.0,0.9908204958665529,0.990077246789963
464.h264ref,40.0,0.9975882862014326,0.9987376397742355
464.h264ref,70.0,1.0026272237371787,1.001281352499146
470.lbm,1.0,0.26930163252914147,0.0956305743135523
470.lbm,2.0,0.40816310103952363,0.1764809518544172
470.lbm,5.0,0.5759026720199502,0.33934423477958026
470.lbm,10.0,0.689387085174036,0.48246250652150213
470.lbm,40.0,0.8719545201806308,0.7489361166746331
470.lbm,70.0,0.918153340232201,0.8303810285044296
471.omnetpp,1.0,0.35089537822990513,0.12789458767343476
471.omnetpp,2.0,0.4865804310561994,0.22611079448574428
471.omnetpp,5.0,0.6290136856420553,0.3873943398768626
471.omnetpp,10.0,0.7252297548201293,0.5284268044587184
471.omnetpp,40.0,0.8847613494008434,0.7709565762783207
471.omnetpp,70.0,0.9320299090035191,0.840351013074744
473.astar,1.0,0.39262242656818164,0.16085237999294355
473.astar,2.0,0.5200742815810394,0.2761598956120014
473.astar,5.0,0.6853631187458183,0.4660487505597337
473.astar,10.0,0.7910086162006763,0.6141833293294464
473.astar,40.0,0.927654901297175,0.8468769240304724
473.astar,70.0,0.9560080573828577,0.9038856611442032
481.wrf,1.0,0.9826117447787953,0.9433049909737146
481.wrf,2.0,0.9905491346211939,0.9699198815096386
481.wrf,5.0,0.9955365591594458,0.9877197316900316
481.wrf,10.0,0.9979493930386427,0.9934324420773487
481.wrf,40.0,0.999382741431037,0.9986028243807877
481.wrf,70.0,0.9998997910020591,0.9993982069865884
482.sphinx3,1.0,0.3690438417506586,0.1530928810266089
482.sphinx3,2.0,0.5164486445478671,0.25925426669647045
482.sphinx3,5.0,0.6722031620027902,0.43649783146979343
482.sphinx3,10.0,0.7772683802481298,0.5847524214155183
482.sphinx3,40.0,0.92235827623772,0.8353934933675523
482.sphinx3,70.0,0.9535984274573404,0.8953810344583778
483.xalancbmk,1.0,0.3458112034820834,0.13131234889453197
483.xalancbmk,2.0,0.4784214169715333,0.2314356322128016
483.xalancbmk,5.0,0.6203585220033874,0.39646841587706827
483.xalancbmk,10.0,0.728979605176503,0.5312413294142834
483.xalancbmk,40.0,0.8872486822488282,0.7765800383105055
483.xalancbmk,70.0,0.9323581687103736,0.8504449699035866
500.perlbench,1.0,0.6906786489694401,0.3714223941574448
500.perlbench,2.0,0.8068834671701506,0.5496076307473685
500.perlbench,5.0,0.9001690212241306,0.7447404359822336
500.perlbench,10.0,0.9427447238873148,0.8519255924258984
500.perlbench,40.0,0.9837225495585448,0.9573756960895733
500.perlbench,70.0,0.9900739395075276,0.9751279967728189
502.gcc,1.0,0.685586017074659,0.3975672672416523
502.gcc,2.0,0.8073781781704816,0.5882018349826743
502.gcc,5.0,0.9010999493987164,0.7881009448518043
502.gcc,10.0,0.9445377133312443,0.8763854404943788
502.gcc,40.0,0.9899856113087291,0.9680927417597994
502.gcc,70.0,0.9985018088761011,0.9821112795514649
505.mcf,1.0,0.3125251522691533,0.1156245440383583
505.mcf,2.0,0.4743996191219985,0.21332462616322773
505.mcf,5.0,0.6243285286141979,0.4155265712847343
505.mcf,10.0,0.7308277006577073,0.5836275840909222
505.mcf,40.0,0.9060740819825593,0.837287717961831
505.mcf,70.0,0.9462713925834866,0.9013750689075682
507.cactuBSSN,1.0,0.4695971675077283,0.20646302239883227
507.cactuBSSN,2.0,0.6284866666257638,0.3521085201405299
507.cactuBSSN,5.0,0.7603874913683216,0.5668901743106678
507.cactuBSSN,10.0,0.8395506605005699,0.7021710120389875
507.cactuBSSN,40.0,0.9432707946006843,0.8922730730802364
507.cactuBSSN,70.0,0.9651494592074253,0.9320530783472109
508.namd,1.0,0.8733597572428389,0.671747882033167
508.namd,2.0,0.9335516739334937,0.820128781385053
508.namd,5.0,0.9704393694373062,0.9228106845114292
508.namd,10.0,0.9841423464997026,0.9606256593305089
508.namd,40.0,0.9960769727550711,0.9900138157548886
508.namd,70.0,0.9982492793889972,0.9947496057334441
510.parest,1.0,0.28160560026748366,0.10875416106052065
510.parest,2.0,0.43054410970397644,0.19688693015223852
510.parest,5.0,0.5869132019789166,0.37636376512979175
510.parest,10.0,0.7016959538084319,0.5374950168510938
510.parest,40.0,0.8851134824143008,0.8118828285188961
510.parest,70.0,0.9255641832894829,0.879074648435555
511.povray,1.0,0.9973603661817539,0.9916525123477601
511.povray,2.0,0.9984246746833585,0.995713519967459
511.povray,5.0,0.9992683520314185,0.9982511400738554
511.povray,10.0,0.9996747792563939,0.9990333808865868
511.povray,40.0,0.9999499333531939,0.9998303531065531
511.povray,70.0,1.0000056080207604,0.9999362143468828
519.lbm,1.0,0.29289028765288616,0.10789229791256914
519.lbm,2.0,0.4278651985542341,0.195892478634651
519.lbm,5.0,0.5918729901815097,0.36257588944579916
519.lbm,10.0,0.7081253663041958,0.5036268287510038
519.lbm,40.0,0.8842953437691355,0.7637251396912014
519.lbm,70.0,0.9267496077303576,0.84176938747967
520.omnetpp,1.0,0.35208412962023933,0.13982916562999617
520.omnetpp,2.0,0.48586395123198395,0.24463599644636877
520.omnetpp,5.0,0.648532990643409,0.42380400489728604
520.omnetpp,10.0,0.7537906151427236,0.5676520792186293
520.omnetpp,40.0,0.9068814312076323,0.8118999852466048
520.omnetpp,70.0,0.9423557923295602,0.8784230429563319
523.xalancbmk,1.0,0.5794101645427497,0.32170693999224537
523.xalancbmk,2.0,0.7362965273962515,0.5020519782470404
523.xalancbmk,5.0,0.8569472515099431,0.7183720298378168
523.xalancbmk,10.0,0.9160911464081325,0.8330528356455592
523.xalancbmk,40.0,0.9741460085243385,0.9462171764028172
523.xalancbmk,70.0,0.9843190031151275,0.9693781817879071
525.x264,1.0,0.8912239159377908,0.6290811389439951
525.x264,2.0,0.9490361094822481,0.8005871137540983
525.x264,5.0,0.9761206419543096,0.9188863463462301
525.x264,10.0,0.9869969755731367,0.9581028282186774
525.x264,40.0,0.9972051286418329,0.9888311894290153
525.x264,70.0,0.9991055813031712,0.9942467160490135
526.blender,1.0,0.934910358883498,0.8021738530418752
526.blender,2.0,0.962547429850841,0.8944434988896878
526.blender,5.0,0.9819896080845482,0.9536037626293618
526.blender,10.0,0.9888319248007288,0.975995966342563
526.blender,40.0,0.996755188603598,0.9925604195122574
526.blender,70.0,0.9980498838232911,0.9952055658612641
531.deepsjeng,1.0,0.905491596138913,0.708292739869281
531.deepsjeng,2.0,0.9508824146037488,0.864132884725376
531.deepsjeng,5.0,0.9762929110357952,0.9445763216176234
531.deepsjeng,10.0,0.9874141023065699,0.9715089572338689
531.deepsjeng,40.0,0.9966669867652493,0.9925368283859957
531.deepsjeng,70.0,0.9978332148094994,0.9959027053787265
538.imagick,1.0,0.9995282362577125,0.9984649757279619
538.imagick,2.0,0.9997533397238983,0.9991894547005116
538.imagick,5.0,0.9998216596388144,0.9997273325984771
538.imagick,10.0,0.9999381202235977,0.9996499627027581
538.imagick,40.0,1.0,0.9999759213530953
