workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX19,256.0,1.0,MMMM (15),1.000799626806945,0.9084569408015845,0.8137624588814922
MIX19,512.0,1.0,MMMM (15),1.0005121585211747,0.9713772790737175,0.9082934963321664
MIX19,512.0,2.0,MMMM (15),1.000322226193966,0.9713772790737175,0.9082934963321664
MIX19,512.0,4.0,MMMM (15),1.0001124546958724,0.9713772790737175,0.9082934963321664
MIX19,1024.0,1.0,MMMM (15),1.0,0.996855267629614,0.9818353363369697
MIX19,2048.0,1.0,MMMM (15),1.0,1.0029135872867436,0.9940255694409671
MIX19,4096.0,1.0,MMMM (15),1.0,1.0029135872867436,0.9940255694409671
MIX2,256.0,1.0,HHHH (15),0.999931284326005,0.887116932207272,
MIX2,512.0,1.0,HHHH (15),0.9996477832575764,0.9583221071552318,
MIX2,512.0,2.0,HHHH (15),0.9998066990779408,0.9583221071552318,0.9109786090093028
MIX2,512.0,4.0,HHHH (15),0.9998883391917984,0.9583221071552318,0.9109786090093028
MIX2,1024.0,1.0,HHHH (15),1.0001147506073695,0.9935589335979044,
MIX2,2048.0,1.0,HHHH (15),1.0,0.9972339670020789,0.9901384278102856
MIX2,4096.0,1.0,HHHH (15),1.0,0.9972339670020789,0.9901384278102856
MIX20,256.0,1.0,MMMM (15),0.9998286925144922,0.9104863657715208,
MIX20,512.0,1.0,MMMM (15),1.0,0.967198390087285,
MIX20,512.0,2.0,MMMM (15),1.0,0.967198390087285,0.9049213126232307
MIX20,512.0,4.0,MMMM (15),1.0,0.967198390087285,0.9049213126232307
MIX20,1024.0,1.0,MMMM (15),1.0,0.9936796249329084,0.9766033813090025
MIX20,2048.0,1.0,MMMM (15),1.0,0.9969670466553797,0.9881185182042326
MIX20,4096.0,1.0,MMMM (15),1.0,0.9969670466553797,0.9881185182042326
MIX21,256.0,1.0,MMMM (15),0.9999665977634454,0.9188506623418642,
MIX21,512.0,1.0,MMMM (15),1.000004679287963,0.9725162637235116,
MIX21,512.0,2.0,MMMM (15),1.000048155221538,0.9725162637235116,0.9137910872906769
MIX21,512.0,4.0,MMMM (15),1.0000453022836349,0.9725162637235116,0.9137910872906769
MIX21,1024.0,1.0,MMMM (15),1.0,0.9940370758699715,0.9770969810635209
MIX21,2048.0,1.0,MMMM (15),1.0,0.9963485983854534,0.9893827307204137
MIX21,4096.0,1.0,MMMM (15),1.0,0.9963485983854534,0.9893827307204137
MIX22,256.0,1.0,MMMM (15),1.0001524360967655,0.9307188014154745,0.8431114436594512
MIX22,512.0,1.0,MMMM (15),1.0003972830620866,0.972328478573756,0.9175955317567255
MIX22,512.0,2.0,MMMM (15),1.0001372622996898,0.972328478573756,0.9175955317567255
MIX22,512.0,4.0,MMMM (15),1.000163780588435,0.972328478573756,0.9175955317567255
MIX22,1024.0,1.0,MMMM (15),0.999956777991349,0.9946254844904487,0.9791927497364675
MIX22,2048.0,1.0,MMMM (15),1.0,0.9976416467333931,0.9894143941830651
MIX22,4096.0,1.0,MMMM (15),1.0,0.9976416467333931,0.9894143941830651
