,workload,Nrh,ABO-Only,BAT-RFM,Baseline,TPRAC-S
110,MIX27,512.0,57259057.57057501,60932215.10302501,57272621.139450006,71732574.06932501
111,MIX27,1024.0,57272621.139450006,57814900.44102501,,61142853.43745
112,MIX27,2048.0,57272621.139450006,57172622.485700004,,60177996.63615001
113,MIX27,4096.0,57272621.139450006,57172622.485700004,,60177996.63615001
114,MIX28,256.0,92084225.3423,106112997.87650001,,
115,MIX28,512.0,92080641.024825,96881025.95155,92069744.100975,
116,MIX28,1024.0,92069744.100975,92860073.03705001,,
117,MIX28,2048.0,92069744.100975,92435594.959675,,94861540.85015
118,MIX28,4096.0,92069744.100975,92435594.959675,,94861540.85015
119,MIX29,128.0,,80593619.60830002,,
120,MIX29,256.0,52440006.786749996,59542443.86484999,,80161801.185375
121,MIX29,512.0,52440006.786749996,54889307.841675006,52440006.786749996,64861110.61327501
122,MIX29,1024.0,52440006.786749996,52846858.2942,,55309895.491000004
123,MIX29,2048.0,52440006.786749996,52585814.2426,,53842276.752050005
124,MIX29,4096.0,52440006.786749996,52585814.2426,,53842276.752050005
125,MIX3,256.0,165784826.67487502,,,
126,MIX3,512.0,165409268.683575,178593081.96682498,165267835.0558,
127,MIX3,1024.0,165306650.62735,167735313.1862,,
128,MIX3,2048.0,165267835.0558,166509607.43135002,,169435886.90275005
129,MIX3,4096.0,165267835.0558,166509607.43135002,,169435886.90275005
130,MIX30,128.0,,25130563.8555,,61970635.935875
131,MIX30,256.0,23874873.133175,24187050.449425,,37964181.7707
132,MIX30,512.0,23874873.133175,23980669.51545,23874873.133175,30314954.981725
133,MIX30,1024.0,23874873.133175,23891976.261025004,,25397038.769725002
134,MIX30,2048.0,23874873.133175,23868522.58455,,24624142.434275
135,MIX30,4096.0,23874873.133175,23868522.58455,,24624142.434275
136,MIX31,128.0,,19912993.673675,,38213246.760675006
137,MIX31,256.0,18545126.571125,18839568.3165,,26927202.214925002
138,MIX31,512.0,18545126.571125,18547227.142625004,18545126.571125,22563832.428975005
139,MIX31,1024.0,18545126.571125,18500541.149925005,,19422421.891725
140,MIX31,2048.0,18545126.571125,18550558.416150004,,18930634.387500003
141,MIX31,4096.0,18545126.571125,18550558.416150004,,18930634.387500003
142,MIX32,128.0,,28517016.600100003,,64587689.3331
143,MIX32,256.0,25498505.546775002,26214707.772250004,,39881640.398525
144,MIX32,512.0,25498505.546775002,25741823.54075,25498505.546775002,32266757.9916
145,MIX32,1024.0,25498505.546775002,25529356.914499998,,27087150.496850003
146,MIX32,2048.0,25498505.546775002,25487730.500175003,,26274283.52595
147,MIX32,4096.0,25498505.546775002,25487730.500175003,,26274283.52595
148,MIX33,128.0,,23115378.9048,,53888154.452075005
149,MIX33,256.0,21384328.344150003,21796845.519550003,,33860771.5456
150,MIX33,512.0,21384328.344150003,21517141.204725,21384328.344150003,27109245.249
151,MIX33,1024.0,21384328.344150003,21388863.437375,,22674970.337150004
152,MIX33,2048.0,21384328.344150003,21360171.249575,,22014789.39325
153,MIX33,4096.0,21384328.344150003,21360171.249575,,22014789.39325
154,MIX34,128.0,,28478665.824825,,63806672.719675004
155,MIX34,256.0,25455856.204525,26223761.8636,,39559109.77222501
156,MIX34,512.0,25455856.204525,25738114.693500005,25455856.204525,32147998.81375
157,MIX34,1024.0,25455856.204525,25520950.270349998,,27028541.89825
158,MIX34,2048.0,25455856.204525,25500963.979375005,,26252594.758925
159,MIX34,4096.0,25455856.204525,25500963.979375005,,26252594.758925
160,MIX35,128.0,,25358704.696900003,,62633886.16235
161,MIX35,256.0,24019893.303000003,24356944.749525,,38224045.607125
162,MIX35,512.0,24019893.303000003,24160648.239175003,24019893.303000003,30552498.423325002
163,MIX35,1024.0,24019893.303000003,24050393.135525003,,25534640.797575004
164,MIX35,2048.0,24019893.303000003,24031034.943150003,,24795391.954875004
165,MIX35,4096.0,24019893.303000003,24031034.943150003,,24795391.954875004
166,MIX36,128.0,,16221522.486100001,,32732083.023649998
167,MIX36,256.0,15799489.039375002,15900866.437050004,,22916390.372050002
168,MIX36,512.0,15799489.039375002,15840861.760650001,15799489.039375002,19212293.346650004
169,MIX36,1024.0,15799489.039375002,15785773.019924998,,16607633.748775003
170,MIX36,2048.0,15799489.039375002,15791390.898075001,,16187345.528199999
171,MIX36,4096.0,15799489.039375002,15791390.898075001,,16187345.528199999
172,MIX37,128.0,,26361400.5807,,63469049.81455
173,MIX37,256.0,24619490.364025,25072137.988825005,,38923500.09195
174,MIX37,512.0,24619490.364025,24765407.278750006,24619490.364025,31179764.69665
175,MIX37,1024.0,24619490.364025,24650365.371125,,26150271.435075004
176,MIX37,2048.0,24619490.364025,24659317.61145,,25383880.464925002
177,MIX37,4096.0,24619490.364025,24659317.61145,,25383880.464925002
178,MIX38,128.0,,25728568.641825,,55743512.464324996
179,MIX38,256.0,22480051.732725002,23224787.767825004,,35137869.62737501
180,MIX38,512.0,22480051.732725002,22733633.587525006,22480051.732725002,28265995.235725
181,MIX38,1024.0,22480051.732725002,22516949.823750004,,23758905.970999997
182,MIX38,2048.0,22480051.732725002,22481201.18425,,23116926.558025002
183,MIX38,4096.0,22480051.732725002,22481201.18425,,23116926.558025002
184,MIX39,128.0,,28359498.116850004,,66095865.5933
185,MIX39,256.0,25873285.5397,26501347.359000005,,40490831.60985
186,MIX39,512.0,25873285.5397,26091905.27675,25873285.5397,32591149.206800006
187,MIX39,1024.0,25873285.5397,25920247.299275003,,27441456.614075005
188,MIX39,2048.0,25873285.5397,25870571.190175004,,26668227.922275003
189,MIX39,4096.0,25873285.5397,25870571.190175004,,26668227.922275003
190,MIX4,256.0,134472633.37625003,164286704.1331,,
191,MIX4,512.0,134292404.66140002,144052241.15595004,134219167.478625,
192,MIX4,1024.0,134210498.46047501,135819156.53800002,,
193,MIX4,2048.0,134219167.478625,134862200.01782504,,137622647.481675
194,MIX4,4096.0,134219167.478625,134862200.01782504,,137622647.481675
195,MIX40,128.0,,30729293.587925006,,66520965.13340001
196,MIX40,256.0,26657504.079425003,27556719.003775004,,41006666.406275
197,MIX40,512.0,26657504.079425003,26937169.436125007,26657504.079425003,33556480.488350004
198,MIX40,1024.0,26657504.079425003,26702952.506625,,28219728.242850002
199,MIX40,2048.0,26657504.079425003,26658233.252650004,,27444940.610925
200,MIX40,4096.0,26657504.079425003,26658233.252650004,,27444940.610925
201,MIX41,128.0,,22609513.289125,,52707757.978175
202,MIX41,256.0,21022916.1207,21366419.830325,,33248691.985250004
203,MIX41,512.0,21023819.370025,21166038.30345,21023819.370025,26651433.771600004
204,MIX41,1024.0,21023819.370025,20981095.353224996,,22332702.548724998
205,MIX41,2048.0,21023819.370025,21021235.992675003,,21725384.5973
206,MIX41,4096.0,21023819.370025,21021235.992675003,,21725384.5973
207,MIX42,128.0,,24497240.853275,,55322508.13435
208,MIX42,256.0,22066150.128475003,22608823.819575004,,34692876.012275
209,MIX42,512.0,22066150.128475003,22261219.21395,22066150.128475003,27883765.189949997
210,MIX42,1024.0,22066150.128475003,22095294.254125003,,23409831.664475
211,MIX42,2048.0,22066150.128475003,22059174.21555,,22717282.03765
212,MIX42,4096.0,22066150.128475003,22059174.21555,,22717282.03765
213,MIX43,128.0,,15046087.67815,,29728720.962950006
214,MIX43,256.0,14912180.765550002,14955018.668525001,,21329748.9916
215,MIX43,512.0,14912180.765550002,14917142.66755,14912180.765550002,18015851.700775
216,MIX43,1024.0,14912180.765550002,14916023.968925001,,15673918.08
217,MIX43,2048.0,14912180.765550002,14913183.865175001,,15287840.115
218,MIX43,4096.0,14912180.765550002,14913183.865175001,,15287840.115
219,MIX44,128.0,,18703366.452675,,42195699.96795
220,MIX44,256.0,17622615.039400004,17876507.555750005,,27533062.564025
221,MIX44,512.0,17622615.039400004,17715930.985,17622615.039400004,21352686.865525
222,MIX44,1024.0,17622615.039400004,17630447.90335,,18549286.91815
223,MIX44,2048.0,17622615.039400004,17651788.645650003,,18106212.95515
224,MIX44,4096.0,17622615.039400004,17651788.645650003,,18106212.95515
225,MIX45,256.0,158174389.24042502,,,
226,MIX45,512.0,157807406.178525,169185931.003275,157726252.064675,
227,MIX45,1024.0,157730397.72165,159818058.44845,,
228,MIX45,2048.0,157726252.064675,158723233.08765,,161785579.901125
229,MIX45,4096.0,157726252.064675,158723233.08765,,161785579.901125
230,MIX46,256.0,111447915.11942501,131560718.68165003,,
231,MIX46,512.0,111433947.64705001,117951297.39762501,111402954.16782501,
232,MIX46,1024.0,111402954.16782501,112519326.84937502,,
233,MIX46,2048.0,111402954.16782501,111865493.30567501,,114513482.40720001
234,MIX46,4096.0,111402954.16782501,111865493.30567501,,114513482.40720001
235,MIX47,256.0,129687649.79457502,156414416.004025,,
236,MIX47,512.0,129544874.659575,137678256.159125,129595338.32375002,
237,MIX47,1024.0,129613855.73915002,130801661.14420001,,
238,MIX47,2048.0,129595338.32375002,129924596.34105,,132884890.254
239,MIX47,4096.0,129595338.32375002,129924596.34105,,132884890.254
240,MIX48,256.0,140310957.9657,167134256.84912503,,
241,MIX48,512.0,139964180.36132503,150200562.387575,139848472.62267503,
242,MIX48,1024.0,139875359.16395,142004209.54705003,,
243,MIX48,2048.0,139848472.62267503,140798246.370875,,143497076.545025
244,MIX48,4096.0,139848472.62267503,140798246.370875,,143497076.545025
245,MIX49,256.0,168921651.55407503,,,
246,MIX49,512.0,168948817.204325,181160182.18420002,168951490.363025,
247,MIX49,1024.0,168951490.363025,170976086.21637502,,
248,MIX49,2048.0,168951490.363025,169912959.252725,,173483824.30835
249,MIX49,4096.0,168951490.363025,169912959.252725,,173483824.30835
250,MIX5,256.0,126916923.346125,,,
251,MIX5,512.0,126964060.39382501,136359858.65945,126936968.98945001,
252,MIX5,1024.0,126920728.95647502,128461050.3856,,
253,MIX5,2048.0,126936968.98945001,127633579.47767502,,130363120.34910001
254,MIX5,4096.0,126936968.98945001,127633579.47767502,,130363120.34910001
255,MIX50,256.0,108011611.618925,127514294.55920002,,
256,MIX50,512.0,108008637.34407501,114444222.973075,107962441.588525,
257,MIX50,1024.0,107962441.588525,109456150.431525,,
258,MIX50,2048.0,107962441.588525,108685312.64320001,,111486072.1189
259,MIX50,4096.0,107962441.588525,108685312.64320001,,111486072.1189
260,MIX51,256.0,160940497.9795,,,
261,MIX51,512.0,160951773.57595,171869949.90547502,160908721.2417,
262,MIX51,1024.0,160936073.32345006,162791261.25495002,,
263,MIX51,2048.0,160908721.2417,161771202.522625,,165388035.42342502
264,MIX51,4096.0,160908721.2417,161771202.522625,,165388035.42342502
265,MIX52,256.0,151988344.13930005,181782246.636575,,
266,MIX52,512.0,151628850.11310002,162521428.70567504,151567790.01037502,
267,MIX52,1024.0,151571786.974175,153614383.73189998,,
268,MIX52,2048.0,151559147.104875,152352996.57380003,,155434528.38412502
269,MIX52,4096.0,151567790.01037502,152352996.57380003,,155434528.38412502
270,MIX53,256.0,70472551.1016,80820801.8558,,
271,MIX53,512.0,70503909.84670001,75014596.07077499,70438003.417925,
272,MIX53,1024.0,70438003.417925,70736720.398,,
273,MIX53,2048.0,70438003.417925,71425730.30332501,,71214291.524425
274,MIX53,4096.0,70438003.417925,71425730.30332501,,71214291.524425
275,MIX54,256.0,83678214.02032499,98258671.34315003,,
276,MIX54,512.0,83715460.294225,88210052.2343,83718904.48262501,
277,MIX54,1024.0,83718904.48262501,84351605.59662502,,
278,MIX54,2048.0,83718904.48262501,83624173.567,,85765393.01342501
279,MIX54,4096.0,83718904.48262501,83624173.567,,85765393.01342501
280,MIX55,256.0,112413217.28672498,134184354.71072501,,
281,MIX55,512.0,112286327.80765,119357949.843875,112230033.30635002,
282,MIX55,1024.0,112254916.713675,113404104.93095002,,
283,MIX55,2048.0,112230033.30635002,112842244.30190001,,115498286.44060001
284,MIX55,4096.0,112230033.30635002,112842244.30190001,,115498286.44060001
285,MIX56,256.0,143887396.72885,,,
286,MIX56,512.0,143824799.92592502,152205019.300825,143844890.45632502,
287,MIX56,1024.0,143809539.1334,145096834.630925,,
288,MIX56,2048.0,143844890.45632502,144327330.68527502,,147893378.62362498
289,MIX56,4096.0,143844890.45632502,144327330.68527502,,147893378.62362498
290,MIX57,256.0,136910188.74570003,,,
291,MIX57,512.0,136831725.019625,145679646.0376,136873238.946025,
292,MIX57,1024.0,136873238.946025,138284206.164225,,
293,MIX57,2048.0,136873238.946025,137368580.81035,,140367119.00265002
294,MIX57,4096.0,136873238.946025,137368580.81035,,140367119.00265002
295,MIX58,256.0,167535408.188625,,,
296,MIX58,512.0,167190512.32602504,179739616.55045,167042274.25349998,
297,MIX58,1024.0,167050426.679225,169584891.01652503,,
298,MIX58,2048.0,167044369.4427,167972144.21417502,,171163650.235225
299,MIX58,4096.0,167042274.25349998,167972144.21417502,,171163650.235225
300,MIX59,256.0,130102434.29082501,158909178.962775,,
301,MIX59,512.0,130012015.43825002,139324043.87164998,130047069.90625001,
302,MIX59,1024.0,130047069.90625001,131756939.59670003,,
303,MIX59,2048.0,130047069.90625001,130750456.99752502,,133934882.6263
304,MIX59,4096.0,130047069.90625001,130750456.99752502,,133934882.6263
305,MIX6,256.0,156841669.75047502,,,
306,MIX6,512.0,156715509.75415,167839386.01740003,156704585.37292498,
307,MIX6,1024.0,156690571.716675,158439763.81422502,,
308,MIX6,2048.0,156704585.37292498,157654399.011975,,160858116.046175
309,MIX6,4096.0,156704585.37292498,157654399.011975,,160858116.046175
310,MIX60,128.0,,89475321.10777502,,
311,MIX60,256.0,57802244.548250005,65537044.912375,,88495325.72805001
312,MIX60,512.0,57790662.63205001,60382011.75705001,57787747.59730001,71826077.04712501
313,MIX60,1024.0,57787747.59730001,58242216.83275,,61001987.437900014
314,MIX60,2048.0,57787747.59730001,58007629.502275005,,59328322.06260001
315,MIX60,4096.0,57787747.59730001,58007629.502275005,,59328322.06260001
316,MIX61,256.0,113698361.0917,135043050.906675,,
317,MIX61,512.0,113716238.65377502,120086159.50980002,113721412.03352502,
318,MIX61,1024.0,113721412.03352502,115001087.27942502,,
319,MIX61,2048.0,113721412.03352502,114288019.02849999,,116963040.48350002
320,MIX61,4096.0,113721412.03352502,114288019.02849999,,116963040.48350002
321,MIX62,256.0,96430069.72189999,113971799.477975,,
322,MIX62,512.0,96429323.0241,101957985.28430001,96425298.07005,
323,MIX62,1024.0,96425298.07005,97279992.965125,,
324,MIX62,2048.0,96425298.07005,96861795.4089,,99132374.0219
325,MIX62,4096.0,96425298.07005,96861795.4089,,99132374.0219
326,MIX63,256.0,112257837.19660002,131166138.13672501,,
327,MIX63,512.0,112230398.1472,118358542.43895,112204990.49727501,
328,MIX63,1024.0,112202271.69620001,113213496.61607502,,
329,MIX63,2048.0,112204990.49727501,112604587.5673,,115341593.11937502
330,MIX63,4096.0,112204990.49727501,112604587.5673,,115341593.11937502
331,MIX64,256.0,74093612.70520002,84291149.673075,,
332,MIX64,512.0,74089963.64217502,77504023.908275,74078197.8233,
333,MIX64,1024.0,74078197.8233,74777887.81905001,,
334,MIX64,2048.0,74078197.8233,74466176.81672502,,76302992.5248
335,MIX64,4096.0,74078197.8233,74466176.81672502,,76302992.5248
336,MIX65,256.0,118808731.52972502,140005745.640575,,
337,MIX65,512.0,118706133.33875,125642642.355275,118737513.25460002,
338,MIX65,1024.0,118737513.25460002,119795267.15957502,,
339,MIX65,2048.0,118737513.25460002,119266138.83712502,,122080869.496425
340,MIX65,4096.0,118737513.25460002,119266138.83712502,,122080869.496425
341,MIX66,256.0,120358648.27897502,145042004.04295003,,
342,MIX66,512.0,120299107.26410002,127777329.853225,120211516.08722502,
343,MIX66,1024.0,120234074.15690002,121671571.75820002,,
344,MIX66,2048.0,120211516.08722502,120996192.95300002,,123712336.11180001
345,MIX66,4096.0,120211516.08722502,120996192.95300002,,123712336.11180001
346,MIX67,256.0,102381405.59015,121612861.16522501,,
347,MIX67,512.0,102355644.749575,108184201.072825,102358255.73352501,
348,MIX67,1024.0,102358255.73352501,103411829.73115003,,
349,MIX67,2048.0,102358255.73352501,103019880.70415,,105449122.06125002
350,MIX67,4096.0,102358255.73352501,103019880.70415,,105449122.06125002
351,MIX68,256.0,142800717.81210002,,,
352,MIX68,512.0,142823176.3375,152479198.66032502,142790211.636,
353,MIX68,1024.0,142790211.636,144354195.525925,,
354,MIX68,2048.0,142790211.636,143370380.856725,,146860281.92305002
355,MIX68,4096.0,142790211.636,143370380.856725,,146860281.92305002
356,MIX69,128.0,,41823171.233525,,78746388.92950001
357,MIX69,256.0,33302276.044000003,35407330.16695,,49257985.96302501
358,MIX69,512.0,33280208.69895,33684162.411775,33284506.089325007,40517220.94527501
359,MIX69,1024.0,33284506.089325007,33288080.4397,,34836766.675725006
360,MIX69,2048.0,33284506.089325007,33333033.539975002,,34064347.74785
361,MIX69,4096.0,33284506.089325007,33333033.539975002,,34064347.74785
362,MIX7,256.0,180533982.13542503,,,
363,MIX7,512.0,180183143.30257502,194604154.64022502,180083357.99827504,
364,MIX7,1024.0,180093172.5798,182815318.427675,,
365,MIX7,2048.0,180074405.02985,181324447.728425,,184755496.231475
366,MIX7,4096.0,180083357.99827504,181324447.728425,,184755496.231475
367,MIX70,256.0,145630532.81415004,173705019.49932504,,
368,MIX70,512.0,145252014.793475,155378086.29092503,145166642.057675,
369,MIX70,1024.0,145216996.31672502,147067812.94282502,,
370,MIX70,2048.0,145166642.057675,146032548.66312498,,148818243.01025
371,MIX70,4096.0,145166642.057675,146032548.66312498,,148818243.01025
372,MIX71,256.0,138562042.709675,168319210.91220003,,
373,MIX71,512.0,138235744.43265,148203864.911325,138143463.93855003,
374,MIX71,1024.0,138156758.9409,140262326.41195,,
375,MIX71,2048.0,138143463.93855003,139215151.027125,,141985232.61450002
376,MIX71,4096.0,138143463.93855003,139215151.027125,,141985232.61450002
377,MIX72,256.0,139591913.56405005,,,
378,MIX72,512.0,139608214.98220003,148594047.85232502,139662329.778975,
379,MIX72,1024.0,139662329.778975,141194024.67625,,
380,MIX72,2048.0,139662329.778975,140374896.223575,,143508853.214625
381,MIX72,4096.0,139662329.778975,140374896.223575,,143508853.214625
382,MIX73,128.0,,87483720.721625,,
383,MIX73,256.0,57008871.160625,64369951.06672501,,87497835.779425
384,MIX73,512.0,56983032.4257,59499906.502025,56984744.95015001,70827616.03315002
385,MIX73,1024.0,56984744.95015001,57439770.975850016,,60239811.84622501
386,MIX73,2048.0,56984744.95015001,57347897.925325,,58760474.965375
387,MIX73,4096.0,56984744.95015001,57347897.925325,,58760474.965375
388,MIX74,256.0,119135833.88477501,146280909.33350003,,
389,MIX74,512.0,119135019.13892502,127040749.09702499,119139551.81369999,
390,MIX74,1024.0,119139551.81369999,120532267.85895002,,
391,MIX74,2048.0,119139551.81369999,119710879.52517502,,122567294.839775
392,MIX74,4096.0,119139551.81369999,119710879.52517502,,122567294.839775
393,MIX75,128.0,,61783538.330400005,,
394,MIX75,256.0,45240749.313575,49435665.792075,,68956803.913275
395,MIX75,512.0,45240749.313575,46710047.07330001,45240749.313575,56391138.71175
396,MIX75,1024.0,45240749.313575,45504869.616475,,47866149.32687501
397,MIX75,2048.0,45240749.313575,45408497.252100006,,46585930.28025
398,MIX75,4096.0,45240749.313575,45408497.252100006,,46585930.28025
399,MIX76,128.0,,67194560.3112,,124704877.61645001
400,MIX76,256.0,46140410.383650005,50840384.770075,,74445386.15150002
401,MIX76,512.0,46140410.383650005,47714279.908975005,46140410.383650005,58730116.51670001
402,MIX76,1024.0,46140410.383650005,46478758.541675,,49112004.03225
403,MIX76,2048.0,46140410.383650005,46292548.4063,,47608096.233200006
404,MIX76,4096.0,46140410.383650005,46292548.4063,,47608096.233200006
405,MIX77,128.0,,42157786.703650005,,84964687.905375
406,MIX77,256.0,32988717.730725,35132226.520775005,,51905556.84882499
407,MIX77,512.0,32980222.073075004,33722874.87630001,32980222.073075004,41652975.65415
408,MIX77,1024.0,32980222.073075004,33085560.473575007,,35030652.6077
409,MIX77,2048.0,32980222.073075004,33072044.590000004,,34012490.208275
410,MIX77,4096.0,32980222.073075004,33072044.590000004,,34012490.208275
411,MIX78,128.0,,59469125.94170001,,108838242.073225
412,MIX78,256.0,43537512.000874996,47285197.7018,,67351376.211
413,MIX78,512.0,43532963.183900006,44614451.96385001,43547286.58535,54450764.629375
414,MIX78,1024.0,43547286.58535,43982360.515775,,46291593.87517501
415,MIX78,2048.0,43547286.58535,43782736.024275,,45079695.05307501
416,MIX78,4096.0,43547286.58535,43782736.024275,,45079695.05307501
417,MIX79,128.0,,64863915.67742501,,
