workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX2,1.0,12800.0,0.8204734723678079,HHHH (15)
MIX2,1.0,17600.0,0.8175265284581281,HHHH (15)
MIX20,1.0,3200.0,0.9412420789996256,MMMM (15)
MIX20,1.0,4800.0,0.9018983085974787,MMMM (15)
MIX20,1.0,6400.0,0.8830920034546232,MMMM (15)
MIX20,1.0,8000.0,0.8716472865814022,MMMM (15)
MIX20,1.0,8800.0,0.868780067657091,MMMM (15)
MIX20,1.0,12800.0,0.862693485492715,MMMM (15)
MIX20,1.0,17600.0,0.8622931956060529,MMMM (15)
MIX21,1.0,3200.0,0.9328213059834727,MMMM (15)
MIX21,1.0,4800.0,0.8901799430336198,MMMM (15)
MIX21,1.0,6400.0,0.8741385116858027,MMMM (15)
MIX21,1.0,8000.0,0.8653898397530747,MMMM (15)
MIX21,1.0,8800.0,0.8641136674381317,MMMM (15)
MIX21,1.0,12800.0,0.8581645829429553,MMMM (15)
MIX21,1.0,17600.0,0.8568553195770844,MMMM (15)
MIX22,1.0,3200.0,0.9456728274241566,MMMM (15)
MIX22,1.0,4800.0,0.9087432079641673,MMMM (15)
MIX22,1.0,6400.0,0.887186147202709,MMMM (15)
MIX22,1.0,8000.0,0.8705734324304006,MMMM (15)
MIX22,1.0,8800.0,0.868059204427056,MMMM (15)
MIX22,1.0,12800.0,0.8595409493968877,MMMM (15)
MIX22,1.0,17600.0,0.8583626508714787,MMMM (15)
MIX23,1.0,3200.0,0.9390178977916402,MMMM (15)
MIX23,1.0,4800.0,0.9071113065252852,MMMM (15)
MIX23,1.0,6400.0,0.8940603203301128,MMMM (15)
MIX23,1.0,8000.0,0.8865247400064441,MMMM (15)
MIX23,1.0,8800.0,0.8848939724406508,MMMM (15)
MIX23,1.0,12800.0,0.8833814505692501,MMMM (15)
MIX23,1.0,17600.0,0.8825958452154326,MMMM (15)
MIX24,1.0,3200.0,0.936601351125692,MMMM (15)
MIX24,1.0,4800.0,0.9058297269245108,MMMM (15)
MIX24,1.0,6400.0,0.8923177648171341,MMMM (15)
MIX24,1.0,8000.0,0.8884791564149257,MMMM (15)
MIX24,1.0,8800.0,0.887922699450879,MMMM (15)
MIX24,1.0,12800.0,0.8856368148095518,MMMM (15)
MIX24,1.0,17600.0,0.8873133989372057,MMMM (15)
MIX25,1.0,3200.0,0.9390949387547575,MMMM (15)
MIX25,1.0,4800.0,0.9098578187868025,MMMM (15)
MIX25,1.0,6400.0,0.8958747677305047,MMMM (15)
MIX25,1.0,8000.0,0.8872067508114229,MMMM (15)
MIX25,1.0,8800.0,0.8856152265148122,MMMM (15)
MIX25,1.0,12800.0,0.8817913353424296,MMMM (15)
MIX25,1.0,17600.0,0.8793814629936806,MMMM (15)
MIX26,1.0,3200.0,0.9211793492780108,MMMM (15)
MIX26,1.0,4800.0,0.8897563437835732,MMMM (15)
MIX26,1.0,6400.0,0.8780465750930939,MMMM (15)
MIX26,1.0,8000.0,0.8732446617972518,MMMM (15)
MIX26,1.0,8800.0,0.8722626792587124,MMMM (15)
MIX26,1.0,12800.0,0.8701155192172254,MMMM (15)
MIX26,1.0,17600.0,0.8686159302891718,MMMM (15)
MIX27,1.0,3200.0,0.9541551105212216,MMMM (15)
MIX27,1.0,4800.0,0.9158383565880494,MMMM (15)
MIX27,1.0,6400.0,0.887271937509954,MMMM (15)
MIX27,1.0,8000.0,0.8698706037747173,MMMM (15)
MIX27,1.0,8800.0,0.8750474302438556,MMMM (15)
MIX27,1.0,12800.0,0.8659594604677634,MMMM (15)
MIX27,1.0,17600.0,0.8682483094917283,MMMM (15)
MIX28,1.0,3200.0,0.9409748394795167,MMMM (15)
MIX28,1.0,4800.0,0.9093636166627677,MMMM (15)
MIX28,1.0,6400.0,0.8957356821659263,MMMM (15)
MIX28,1.0,8000.0,0.889338056474641,MMMM (15)
MIX28,1.0,8800.0,0.887344758478838,MMMM (15)
MIX28,1.0,12800.0,0.885761396030501,MMMM (15)
MIX28,1.0,17600.0,0.8848126112807159,MMMM (15)
MIX29,1.0,3200.0,0.9454955133143733,MMMM (15)
MIX29,1.0,4800.0,0.9105130246504575,MMMM (15)
MIX29,1.0,6400.0,0.8923102632173777,MMMM (15)
MIX29,1.0,8000.0,0.8795940599630583,MMMM (15)
MIX29,1.0,8800.0,0.8777599371532072,MMMM (15)
MIX29,1.0,12800.0,0.8736143078798196,MMMM (15)
MIX29,1.0,17600.0,0.8729611326763258,MMMM (15)
MIX3,1.0,3200.0,0.9784508927668766,HHHH (15)
MIX3,1.0,4800.0,0.9540550808256222,HHHH (15)
MIX3,1.0,6400.0,0.9086475016495889,HHHH (15)
MIX3,1.0,8000.0,0.8677800323809222,HHHH (15)
MIX3,1.0,8800.0,0.8525542325781859,HHHH (15)
MIX3,1.0,12800.0,0.8196169996170535,HHHH (15)
MIX3,1.0,17600.0,0.813373681564247,HHHH (15)
MIX30,1.0,3200.0,0.986784245363616,LLLL (15)
MIX30,1.0,4800.0,0.9858998907018041,LLLL (15)
MIX30,1.0,6400.0,0.9853008702150803,LLLL (15)
MIX30,1.0,8000.0,0.9853884012596822,LLLL (15)
MIX30,1.0,8800.0,0.9849437962979867,LLLL (15)
MIX30,1.0,12800.0,0.9852540755068587,LLLL (15)
MIX30,1.0,17600.0,0.9852871716497259,LLLL (15)
MIX31,1.0,3200.0,0.9894216143824344,LLLL (15)
MIX31,1.0,4800.0,0.9881334124876986,LLLL (15)
