workload,PRAC_level,QPRAC,QPRAC+Proactive
tpch6,1.0,0.9985606179812866,1.0
tpch6,2.0,0.9980837047888984,1.0
tpch6,4.0,0.9977515874765759,1.0
wc_8443,1.0,0.9993935011580488,1.0
wc_8443,2.0,0.9993627466913032,1.0
wc_8443,4.0,0.9994645320794248,1.0
wc_map0,1.0,0.9996978603203688,1.0
wc_map0,2.0,0.9993561423720035,1.0
wc_map0,4.0,0.9996813848779662,1.0
ycsb_abgsave,1.0,0.9946048849491007,1.0
ycsb_abgsave,2.0,0.9916762814630139,1.0
ycsb_abgsave,4.0,0.9860008438498205,1.0
ycsb_aserver,1.0,0.9973868538185259,1.0
ycsb_aserver,2.0,0.9968081028471426,1.0
ycsb_aserver,4.0,0.9965402033711718,1.0
ycsb_bserver,1.0,0.9971512581241672,1.0
ycsb_bserver,2.0,0.9975530224224499,1.0
ycsb_bserver,4.0,0.996452395376222,1.0
ycsb_cserver,1.0,0.9989932667071729,1.0
ycsb_cserver,2.0,0.9987610441407504,1.0
ycsb_cserver,4.0,0.9989220669739651,1.0
ycsb_dserver,1.0,1.0003463686324048,1.0
ycsb_dserver,2.0,0.9992704413054362,1.0
ycsb_dserver,4.0,0.9988074969850483,1.0
ycsb_eserver,1.0,0.9994521069486113,1.0
ycsb_eserver,2.0,0.9992847223886051,1.0
ycsb_eserver,4.0,0.9982175771759048,1.0
SPEC2K6 (23),1.0,0.9856080504112096,1.0
SPEC2K17 (18),1.0,0.9929231044557361,1.0
TPC (4),1.0,0.9975499126081109,1.0
Hadoop (3),1.0,0.9992790845445856,1.0
MediaBench (3),1.0,0.9860665189370407,1.0
YCSB (6),1.0,0.9979873497951331,1.0
SPEC2K6 (23),2.0,0.9849236055262952,1.0
SPEC2K17 (18),2.0,0.9932914014499478,1.0
TPC (4),2.0,0.9977799491005677,1.0
Hadoop (3),2.0,0.9991169996407837,1.0
MediaBench (3),2.0,0.9830564483227997,1.0
YCSB (6),2.0,0.9972220963575016,1.0
SPEC2K6 (23),4.0,0.9813578168498138,1.0
SPEC2K17 (18),4.0,0.9931429914205671,1.0
TPC (4),4.0,0.9961909515730675,1.0
Hadoop (3),4.0,0.9999301282221768,1.0
MediaBench (3),4.0,0.9770428431901007,1.0
YCSB (6),4.0,0.9958132027322927,1.0
All (57),1.0,0.9911085112133168,1.0
All (57),2.0,0.9906925543160146,1.0
All (57),4.0,0.9886905924967878,1.0
