workload,Channel,PRAC_WO_Mitigation,Benchmark_Types
MIX28,4.0,0.9425464099477893,MMMM (15)
MIX28,8.0,0.9451275542446531,MMMM (15)
MIX28,16.0,0.9494301718033691,MMMM (15)
MIX29,1.0,0.8765678462696476,MMMM (15)
MIX29,2.0,0.8970544375002001,MMMM (15)
MIX29,4.0,0.922572233562767,MMMM (15)
MIX29,8.0,0.9273111909048612,MMMM (15)
MIX29,16.0,0.9424017082349171,MMMM (15)
MIX3,1.0,0.8519669350143432,HHHH (15)
MIX3,2.0,0.8161102999717819,HHHH (15)
MIX3,4.0,0.8198177770697294,HHHH (15)
MIX3,8.0,0.8405704917931967,HHHH (15)
MIX3,16.0,0.8512511627248918,HHHH (15)
MIX30,1.0,0.9812808460041811,LLLL (15)
MIX30,2.0,0.9865624336605362,LLLL (15)
MIX30,4.0,0.9913927906152618,LLLL (15)
MIX30,8.0,0.9944000763673313,LLLL (15)
MIX30,16.0,0.9961629449480945,LLLL (15)
MIX31,1.0,,LLLL (15)
MIX31,2.0,0.9900856404365915,LLLL (15)
MIX31,4.0,0.9933573028951758,LLLL (15)
MIX31,8.0,0.9940242630396809,LLLL (15)
MIX31,16.0,0.9954873257297102,LLLL (15)
MIX32,1.0,0.9746706086169146,LLLL (15)
MIX32,2.0,0.9795103870652736,LLLL (15)
MIX32,4.0,0.9863905982631169,LLLL (15)
MIX32,8.0,0.9918404560108217,LLLL (15)
MIX32,16.0,0.99442363361792,LLLL (15)
MIX33,1.0,0.9763791115233258,LLLL (15)
MIX33,2.0,0.9824946574456274,LLLL (15)
MIX33,4.0,0.9885372384474675,LLLL (15)
MIX33,8.0,0.991690044451204,LLLL (15)
MIX33,16.0,0.9945436674851751,LLLL (15)
MIX34,1.0,0.9614518080162929,LLLL (15)
MIX34,2.0,0.9711843756662193,LLLL (15)
MIX34,4.0,0.9808378552831263,LLLL (15)
MIX34,8.0,0.9884679973071528,LLLL (15)
MIX34,16.0,0.9921168534990613,LLLL (15)
MIX35,1.0,0.9812441534936722,LLLL (15)
MIX35,2.0,0.9879354716083407,LLLL (15)
MIX35,4.0,0.990853359101585,LLLL (15)
MIX35,8.0,0.99458632193468,LLLL (15)
MIX35,16.0,0.996582428669786,LLLL (15)
MIX36,1.0,0.9924132630747171,LLLL (15)
MIX36,2.0,0.9947593123976943,LLLL (15)
MIX36,4.0,0.9957443221234589,LLLL (15)
MIX36,8.0,0.997004905179142,LLLL (15)
MIX36,16.0,0.9981495596092814,LLLL (15)
MIX37,1.0,0.9763704413175679,LLLL (15)
MIX37,2.0,0.9834581365120203,LLLL (15)
MIX37,4.0,0.9890386550339311,LLLL (15)
MIX37,8.0,0.9923794841493195,LLLL (15)
MIX37,16.0,0.9951408136264094,LLLL (15)
MIX38,1.0,0.9615463388586633,LLLL (15)
MIX38,2.0,0.9694719270299054,LLLL (15)
MIX38,4.0,0.9791573945797262,LLLL (15)
MIX38,8.0,0.9868055180100305,LLLL (15)
MIX38,16.0,0.9919265419780755,LLLL (15)
MIX39,1.0,0.9724450426162583,LLLL (15)
MIX39,2.0,0.980040466695465,LLLL (15)
MIX39,4.0,0.9855957708787009,LLLL (15)
MIX39,8.0,0.9900840092532637,LLLL (15)
MIX39,16.0,0.9930605411605429,LLLL (15)
MIX4,1.0,0.8642200875772679,HHHH (15)
MIX4,2.0,0.8476533965318201,HHHH (15)
MIX4,4.0,0.8627522432768926,HHHH (15)
MIX4,8.0,0.8782209185702041,HHHH (15)
MIX4,16.0,0.8879269086748799,HHHH (15)
MIX40,1.0,0.9560459584066237,LLLL (15)
MIX40,2.0,0.9658584107664738,LLLL (15)
MIX40,4.0,0.9755726011806628,LLLL (15)
MIX40,8.0,0.9845062640536448,LLLL (15)
MIX40,16.0,0.9908449613160519,LLLL (15)
MIX41,1.0,0.982253954006965,LLLL (15)
MIX41,2.0,0.9902622001871813,LLLL (15)
MIX41,4.0,0.9910646611541675,LLLL (15)
MIX41,8.0,0.9958964239326014,LLLL (15)
MIX41,16.0,0.9957747531184543,LLLL (15)
MIX42,1.0,0.9721525461249578,LLLL (15)
MIX42,2.0,0.9779397917256998,LLLL (15)
MIX42,4.0,0.984344232142574,LLLL (15)
MIX42,8.0,0.990394360444679,LLLL (15)
MIX42,16.0,0.9925777773558858,LLLL (15)
MIX43,1.0,0.9973336108447566,LLLL (15)
MIX43,2.0,0.9981456794735459,LLLL (15)
MIX43,4.0,0.9987260131319242,LLLL (15)
MIX43,8.0,0.9992236285227831,LLLL (15)
MIX43,16.0,0.9995160637966487,LLLL (15)
MIX44,1.0,0.9859910637374134,LLLL (15)
MIX44,2.0,0.9897452478304709,LLLL (15)
MIX44,4.0,0.9930722243891099,LLLL (15)
MIX44,8.0,0.9950704176162285,LLLL (15)
MIX44,16.0,0.9965240461787873,LLLL (15)
MIX45,1.0,0.8592104482562309,HHMM (15)
MIX45,2.0,0.8474002934670724,HHMM (15)
MIX45,4.0,0.8521438751242825,HHMM (15)
MIX45,8.0,0.8683020873326271,HHMM (15)
MIX45,16.0,0.8818009314778781,HHMM (15)
MIX46,1.0,0.8509647743529224,HHMM (15)
MIX46,2.0,0.8570099759743905,HHMM (15)
MIX46,4.0,0.8780751737122874,HHMM (15)
MIX46,8.0,0.8933084410392125,HHMM (15)
MIX46,16.0,0.9058966642667822,HHMM (15)
MIX47,1.0,0.86139502922115,HHMM (15)
MIX47,2.0,0.8646610043082599,HHMM (15)
MIX47,4.0,0.8863770360631495,HHMM (15)
MIX47,8.0,0.9083609170750621,HHMM (15)
MIX47,16.0,0.9198897630880125,HHMM (15)
MIX48,1.0,0.8715378053613156,HHMM (15)
MIX48,2.0,0.8473308889598186,HHMM (15)
MIX48,4.0,0.8596862582060327,HHMM (15)
MIX48,8.0,0.8757120506097054,HHMM (15)
MIX48,16.0,0.8906407023938604,HHMM (15)
MIX49,1.0,0.8525809131762504,HHMM (15)
MIX49,2.0,0.862336741831231,HHMM (15)
MIX49,4.0,0.877415133560165,HHMM (15)
MIX49,8.0,0.8985556749647683,HHMM (15)
MIX49,16.0,0.9099804231662688,HHMM (15)
MIX5,1.0,0.8592832246948053,HHHH (15)
MIX5,2.0,0.8488742759031358,HHHH (15)
MIX5,4.0,0.8680457582805997,HHHH (15)
MIX5,8.0,0.8789593377988937,HHHH (15)
MIX5,16.0,0.8896115779175925,HHHH (15)
MIX50,1.0,0.8848845222274635,HHMM (15)
MIX50,2.0,0.8941782728464323,HHMM (15)
MIX50,4.0,0.9223461110181778,HHMM (15)
MIX50,8.0,0.9362593863522392,HHMM (15)
MIX50,16.0,0.9504011070809755,HHMM (15)
MIX51,1.0,0.8490289014077546,HHMM (15)
MIX51,2.0,0.8474039317989785,HHMM (15)
MIX51,4.0,0.8663454546694453,HHMM (15)
MIX51,8.0,0.8868280154256416,HHMM (15)
MIX51,16.0,0.8997626097744705,HHMM (15)
MIX52,1.0,0.8520927698606573,HHMM (15)
MIX52,2.0,0.8370958280547621,HHMM (15)
MIX52,4.0,0.8493481055160952,HHMM (15)
MIX52,8.0,0.8678582477457797,HHMM (15)
MIX52,16.0,0.8783091964309827,HHMM (15)
MIX53,1.0,0.8756451283278326,HHMM (15)
MIX53,2.0,0.8986293493800224,HHMM (15)
MIX53,4.0,0.9113825590364083,HHMM (15)
MIX53,8.0,0.9257232302496128,HHMM (15)
MIX53,16.0,0.9440636496956212,HHMM (15)
MIX54,1.0,0.8620928879272898,HHMM (15)
MIX54,2.0,0.8786543508154651,HHMM (15)
MIX54,4.0,0.9100920267520652,HHMM (15)
MIX54,8.0,0.9281788277656775,HHMM (15)
MIX54,16.0,0.9379511830614242,HHMM (15)
MIX55,1.0,0.8495611034678462,HHMM (15)
MIX55,2.0,0.8515945319482189,HHMM (15)
MIX55,4.0,0.8861936786913007,HHMM (15)
MIX55,8.0,0.9047071785718314,HHMM (15)
MIX55,16.0,0.9169372207844272,HHMM (15)
MIX56,1.0,0.8821407291360573,HHMM (15)
MIX56,2.0,0.8911187073701116,HHMM (15)
MIX56,4.0,0.9091501962130543,HHMM (15)
MIX56,8.0,0.9251279469412673,HHMM (15)
MIX56,16.0,0.9367959466289102,HHMM (15)
MIX57,1.0,0.8549029587207102,HHMM (15)
MIX57,2.0,0.8603624098285967,HHMM (15)
MIX57,4.0,0.8756466358611062,HHMM (15)
MIX57,8.0,0.8971929791563921,HHMM (15)
MIX57,16.0,0.9122206554955192,HHMM (15)
MIX58,2.0,0.8382390272423292,HHMM (15)
MIX58,4.0,0.8476179770218459,HHMM (15)
MIX58,8.0,0.8657117066068928,HHMM (15)
MIX58,16.0,0.8787272040706695,HHMM (15)
MIX59,1.0,0.8656739222801715,HHMM (15)
MIX59,2.0,0.8721621658156534,HHMM (15)
MIX59,4.0,0.8915523285655922,HHMM (15)
MIX59,8.0,0.9085681453152815,HHMM (15)
MIX59,16.0,0.9174686270144726,HHMM (15)
MIX6,1.0,0.8506511233886385,HHHH (15)
MIX6,2.0,0.8672916470399572,HHHH (15)
MIX6,4.0,0.8715863704525835,HHHH (15)
MIX6,8.0,0.89228536208121,HHHH (15)
MIX6,16.0,0.9067570942944683,HHHH (15)
MIX60,1.0,0.896788200671737,HHLL (15)
MIX60,2.0,0.9149002812370376,HHLL (15)
MIX60,4.0,0.9311764071307898,HHLL (15)
MIX60,8.0,0.9435930576793203,HHLL (15)
MIX60,16.0,0.9516992269288095,HHLL (15)
MIX61,1.0,0.9110322972759979,HHLL (15)
MIX61,2.0,0.9124206603162857,HHLL (15)
MIX61,4.0,0.920692748396664,HHLL (15)
MIX61,8.0,0.9298664474131276,HHLL (15)
MIX61,16.0,0.9368657068390208,HHLL (15)
MIX62,1.0,0.8835113553459847,HHLL (15)
MIX62,2.0,0.8994306240624504,HHLL (15)
MIX62,4.0,0.9147098688404234,HHLL (15)
MIX62,8.0,0.9231089688026154,HHLL (15)
MIX62,16.0,0.9349921056739251,HHLL (15)
MIX63,1.0,0.9117234993072731,HHLL (15)
MIX63,2.0,0.9420646722226018,HHLL (15)
MIX63,4.0,0.9382641865557707,HHLL (15)
MIX63,8.0,0.9417237447385943,HHLL (15)
MIX63,16.0,0.9460028104388408,HHLL (15)
MIX64,1.0,0.9221925105636822,HHLL (15)
MIX64,2.0,0.9362626757146514,HHLL (15)
MIX64,4.0,0.950013586637621,HHLL (15)
MIX64,8.0,0.9579449092021624,HHLL (15)
MIX64,16.0,0.9644061619103076,HHLL (15)
MIX65,1.0,0.9154563793813669,HHLL (15)
MIX65,2.0,0.9467283981626649,HHLL (15)
MIX65,4.0,0.9434067513723542,HHLL (15)
MIX65,8.0,0.951561166190194,HHLL (15)
MIX65,16.0,0.9548396953132033,HHLL (15)
MIX66,1.0,0.9047124822277703,HHLL (15)
MIX66,2.0,0.9192928879678244,HHLL (15)
MIX66,4.0,0.9303386135060301,HHLL (15)
MIX66,8.0,0.9406841996447721,HHLL (15)
MIX66,16.0,0.945172459323232,HHLL (15)
MIX67,1.0,0.8755418584239552,HHLL (15)
MIX67,2.0,0.8982550728783452,HHLL (15)
MIX67,4.0,0.9149619768245618,HHLL (15)
MIX67,8.0,0.9268747799988211,HHLL (15)
MIX67,16.0,0.9396029936711611,HHLL (15)
MIX68,1.0,0.9196029780133531,HHLL (15)
MIX68,2.0,0.938654088942258,HHLL (15)
MIX68,4.0,0.9288363282178558,HHLL (15)
MIX68,8.0,0.9360120503209381,HHLL (15)
MIX68,16.0,0.9396092307335115,HHLL (15)
MIX69,1.0,0.9212974058503718,HHLL (15)
MIX69,2.0,0.9409040096247379,HHLL (15)
MIX69,4.0,0.9540030651715765,HHLL (15)
MIX69,8.0,0.9673858401714552,HHLL (15)
MIX69,16.0,0.970179548333622,HHLL (15)
MIX7,1.0,0.860402956126431,HHHH (15)
MIX7,2.0,0.8252597975052971,HHHH (15)
MIX7,4.0,0.8139981569965896,HHHH (15)
MIX7,8.0,0.8372571909514394,HHHH (15)
MIX7,16.0,0.8471228639873113,HHHH (15)
MIX70,1.0,0.9073324574831979,HHLL (15)
MIX70,2.0,0.8953799679321881,HHLL (15)
MIX70,4.0,0.9010024486258101,HHLL (15)
MIX70,8.0,0.9065670266882465,HHLL (15)
MIX70,16.0,0.9084186777013524,HHLL (15)
MIX71,1.0,0.9088312936448545,HHLL (15)
MIX71,2.0,0.8973537600505757,HHLL (15)
MIX71,4.0,0.8994512051145136,HHLL (15)
MIX71,8.0,0.905798773825453,HHLL (15)
MIX71,16.0,0.9089960782415096,HHLL (15)
MIX72,1.0,0.8975801255146738,HHLL (15)
MIX72,2.0,0.9190280463317362,HHLL (15)
MIX72,4.0,0.921078172563551,HHLL (15)
MIX72,8.0,0.9322882952174294,HHLL (15)
MIX72,16.0,0.9370794990837955,HHLL (15)
MIX73,1.0,0.9053241467274848,HHLL (15)
MIX73,2.0,0.9209648617828416,HHLL (15)
MIX73,4.0,0.9367404854703149,HHLL (15)
MIX73,8.0,0.9415283640830157,HHLL (15)
MIX73,16.0,0.9574408728899398,HHLL (15)
MIX74,1.0,0.9068516732661513,HHLL (15)
MIX74,2.0,0.9141614039844002,HHLL (15)
MIX74,4.0,0.9208551505235424,HHLL (15)
MIX74,8.0,0.9259964521712194,HHLL (15)
MIX74,16.0,0.9334993459979587,HHLL (15)
