workload,Channel,interface,mitigation,RD_REQs,WR_REQs,WR_ratio
445.gobmk,2.0,8800.0,Baseline,171205.0,111210.0,0.39378219995396846
wc_8443,1.0,6400.0,Baseline,2768471.0,2670936.0,0.49103440871403814
482.sphinx3,1.0,3200.0,Baseline,6303810.0,384674.0,0.057512883337988104
544.nab,2.0,8800.0,Baseline,131968.0,3701.0,0.027279629097288254
470.lbm,1.0,6400.0,Baseline,14403466.0,10571052.0,0.4232735142275819
502.gcc,1.0,12800.0,Baseline,325828.0,211600.0,0.393727159731164
403.gcc,2.0,8800.0,Baseline,93218.0,3704.0,0.038216297641402365
462.libquantum,1.0,6400.0,Baseline,13190099.0,2097751.0,0.13721687483851555
507.cactuBSSN,1.0,17600.0,Baseline,1609092.0,341983.0,0.17527926912086927
grep_map0,1.0,17600.0,Baseline,1830037.0,1761170.0,0.49041171951380136
538.imagick,1.0,17600.0,Baseline,4719.0,0.0,0.0
tpch6,8.0,8800.0,Baseline,527986.0,240815.0,0.3132345041174504
jp2_encode,1.0,17600.0,Baseline,1345306.0,1109223.0,0.45190869612866663
tpch6,2.0,8800.0,Baseline,527986.0,240815.0,0.3132345041174504
401.bzip2,16.0,8800.0,Baseline,470875.0,219614.0,0.3180557546897923
520.omnetpp,1.0,8800.0,Baseline,4555310.0,2169681.0,0.3226295767533369
458.sjeng,2.0,8800.0,Baseline,170651.0,97055.0,0.36254323773094366
tpch6,4.0,8800.0,Baseline,527986.0,240815.0,0.3132345041174504
ycsb_cserver,4.0,8800.0,Baseline,1279983.0,41568.0,0.031453950698837954
tpch2,1.0,3200.0,Baseline,4654963.0,2045902.0,0.3053190894011445
jp2_encode,16.0,8800.0,Baseline,1345306.0,1109223.0,0.45190869612866663
437.leslie3d,1.0,8800.0,Baseline,7490900.0,2538104.0,0.2530763772753506
ycsb_aserver,1.0,8800.0,Baseline,1403657.0,332582.0,0.19155312143086292
ycsb_cserver,1.0,6400.0,Baseline,1279983.0,41568.0,0.031453950698837954
538.imagick,4.0,8800.0,Baseline,4719.0,0.0,0.0
544.nab,1.0,8800.0,Baseline,131968.0,3701.0,0.027279629097288254
445.gobmk,1.0,17600.0,Baseline,171205.0,111210.0,0.39378219995396846
531.deepsjeng,8.0,8800.0,Baseline,145881.0,75902.0,0.34223542832408255
500.perlbench,1.0,6400.0,Baseline,859959.0,52943.0,0.05799417681196886
wc_map0,1.0,6400.0,Baseline,2751144.0,2658120.0,0.49140141801176646
471.omnetpp,1.0,12800.0,Baseline,5507746.0,228046.0,0.03975841522844622
444.namd,1.0,12800.0,Baseline,21246.0,255.0,0.011859913492395702
508.namd,1.0,8800.0,Baseline,191281.0,25929.0,0.11937295704617651
434.zeusmp,1.0,17600.0,Baseline,12060506.0,11463590.0,0.48731266867810774
505.mcf,2.0,8800.0,Baseline,5745829.0,44231.0,0.007639126364839052
ycsb_eserver,1.0,6400.0,Baseline,1405847.0,86206.0,0.057776767983442945
519.lbm,1.0,3200.0,Baseline,12626141.0,9445015.0,0.4279347669872842
wc_map0,4.0,8800.0,Baseline,2751144.0,2658120.0,0.49140141801176646
531.deepsjeng,4.0,8800.0,Baseline,145881.0,75902.0,0.34223542832408255
511.povray,16.0,8800.0,Baseline,4770.0,0.0,0.0
433.milc,1.0,8800.0,Baseline,8008212.0,2704600.0,0.2524640589230913
508.namd,1.0,12800.0,Baseline,191281.0,25929.0,0.11937295704617651
505.mcf,16.0,8800.0,Baseline,5745829.0,44231.0,0.007639126364839052
ycsb_bserver,1.0,6400.0,Baseline,1291150.0,70671.0,0.05189448539859497
ycsb_cserver,1.0,17600.0,Baseline,1279983.0,41568.0,0.031453950698837954
508.namd,1.0,3200.0,Baseline,191281.0,25929.0,0.11937295704617651
434.zeusmp,2.0,8800.0,Baseline,12060504.0,11463588.0,0.4873126665207737
tpch2,2.0,8800.0,Baseline,4654963.0,2045902.0,0.3053190894011445
403.gcc,1.0,17600.0,Baseline,93218.0,3704.0,0.038216297641402365
444.namd,16.0,8800.0,Baseline,21246.0,255.0,0.011859913492395702
520.omnetpp,2.0,8800.0,Baseline,4555310.0,2169681.0,0.3226295767533369
433.milc,16.0,8800.0,Baseline,8008212.0,2704600.0,0.2524640589230913
ycsb_eserver,1.0,8800.0,Baseline,1405847.0,86206.0,0.057776767983442945
462.libquantum,1.0,12800.0,Baseline,13190096.0,2097751.0,0.13721690176517334
510.parest,2.0,8800.0,Baseline,8614701.0,131156.0,0.014996357703996304
502.gcc,1.0,8800.0,Baseline,325828.0,211600.0,0.393727159731164
557.xz,1.0,3200.0,Baseline,1141576.0,721513.0,0.38726706024242535
473.astar,4.0,8800.0,Baseline,2670428.0,1875421.0,0.41255681831930624
ycsb_abgsave,8.0,8800.0,Baseline,516619.0,149927.0,0.22493121254947146
471.omnetpp,4.0,8800.0,Baseline,5507746.0,228046.0,0.03975841522844622
481.wrf,1.0,6400.0,Baseline,13887.0,31.0,0.0022273315131484408
473.astar,8.0,8800.0,Baseline,2670428.0,1875421.0,0.41255681831930624
wc_8443,1.0,12800.0,Baseline,2768471.0,2670936.0,0.49103440871403814
526.blender,16.0,8800.0,Baseline,116503.0,196.0,0.0016795345290019623
433.milc,1.0,12800.0,Baseline,8008212.0,2704600.0,0.2524640589230913
481.wrf,1.0,12800.0,Baseline,13887.0,31.0,0.0022273315131484408
508.namd,1.0,17600.0,Baseline,191281.0,25929.0,0.11937295704617651
525.x264,1.0,12800.0,Baseline,152049.0,54542.0,0.2640095647922707
wc_map0,16.0,8800.0,Baseline,2751144.0,2658120.0,0.49140141801176646
508.namd,8.0,8800.0,Baseline,191281.0,25929.0,0.11937295704617651
h264_encode,1.0,8800.0,Baseline,33462.0,3200.0,0.08728383612459768
471.omnetpp,1.0,8800.0,Baseline,5507746.0,228046.0,0.03975841522844622
433.milc,4.0,8800.0,Baseline,8008212.0,2704600.0,0.2524640589230913
462.libquantum,16.0,8800.0,Baseline,13190095.0,2097751.0,0.13721691074072828
401.bzip2,1.0,12800.0,Baseline,470875.0,219614.0,0.3180557546897923
437.leslie3d,8.0,8800.0,Baseline,7490900.0,2538104.0,0.2530763772753506
505.mcf,1.0,3200.0,Baseline,5745829.0,44231.0,0.007639126364839052
531.deepsjeng,1.0,8800.0,Baseline,145881.0,75902.0,0.34223542832408255
jp2_decode,4.0,8800.0,Baseline,2414320.0,1853971.0,0.43435909126158456
538.imagick,16.0,8800.0,Baseline,4719.0,0.0,0.0
526.blender,1.0,8800.0,Baseline,116503.0,196.0,0.0016795345290019623
h264_encode,1.0,3200.0,Baseline,33462.0,3200.0,0.08728383612459768
525.x264,1.0,17600.0,Baseline,152049.0,54542.0,0.2640095647922707
ycsb_abgsave,1.0,3200.0,Baseline,516619.0,149927.0,0.22493121254947146
ycsb_cserver,1.0,8800.0,Baseline,1279983.0,41568.0,0.031453950698837954
403.gcc,8.0,8800.0,Baseline,93218.0,3704.0,0.038216297641402365
ycsb_dserver,8.0,8800.0,Baseline,910378.0,117098.0,0.11396665226243727
464.h264ref,4.0,8800.0,Baseline,63032.0,20886.0,0.24888581710717605
ycsb_bserver,16.0,8800.0,Baseline,1291150.0,70671.0,0.05189448539859497
519.lbm,1.0,12800.0,Baseline,12626141.0,9445015.0,0.4279347669872842
525.x264,2.0,8800.0,Baseline,152049.0,54542.0,0.2640095647922707
471.omnetpp,1.0,3200.0,Baseline,5507746.0,228046.0,0.03975841522844622
525.x264,1.0,3200.0,Baseline,152049.0,54542.0,0.2640095647922707
ycsb_dserver,1.0,6400.0,Baseline,910378.0,117098.0,0.11396665226243727
wc_8443,1.0,3200.0,Baseline,2768471.0,2670936.0,0.49103440871403814
tpch2,4.0,8800.0,Baseline,4654963.0,2045902.0,0.3053190894011445
ycsb_bserver,8.0,8800.0,Baseline,1291150.0,70671.0,0.05189448539859497
tpch17,8.0,8800.0,Baseline,3801889.0,1319302.0,0.25761624590842247
ycsb_abgsave,1.0,6400.0,Baseline,516619.0,149927.0,0.22493121254947146
523.xalancbmk,1.0,8800.0,Baseline,443874.0,370371.0,0.4548643221634766
h264_encode,16.0,8800.0,Baseline,33462.0,3200.0,0.08728383612459768
tpcc64,1.0,17600.0,Baseline,1802978.0,430493.0,0.19274617848183387
464.h264ref,2.0,8800.0,Baseline,63032.0,20886.0,0.24888581710717605
511.povray,4.0,8800.0,Baseline,4770.0,0.0,0.0
470.lbm,1.0,17600.0,Baseline,14403466.0,10571052.0,0.4232735142275819
401.bzip2,1.0,8800.0,Baseline,470875.0,219614.0,0.3180557546897923
523.xalancbmk,8.0,8800.0,Baseline,443874.0,370371.0,0.4548643221634766
483.xalancbmk,1.0,3200.0,Baseline,6805319.0,163340.0,0.023439229843216607
482.sphinx3,1.0,6400.0,Baseline,6303810.0,384674.0,0.057512883337988104
450.soplex,1.0,8800.0,Baseline,8930307.0,4465167.0,0.3333340052020556
482.sphinx3,1.0,12800.0,Baseline,6303810.0,384674.0,0.057512883337988104
541.leela,4.0,8800.0,Baseline,6778.0,2.0,0.0002949852507374631
450.soplex,8.0,8800.0,Baseline,8930306.0,4465167.0,0.3333340300861343
500.perlbench,1.0,8800.0,Baseline,859959.0,52943.0,0.05799417681196886
482.sphinx3,4.0,8800.0,Baseline,6303810.0,384674.0,0.057512883337988104
511.povray,1.0,12800.0,Baseline,4770.0,0.0,0.0
511.povray,1.0,3200.0,Baseline,4770.0,0.0,0.0
