workload,Channel,PRAC_WO_Mitigation,Benchmark_Types
MIX0,1.0,0.8655569442907661,HHHH (15)
MIX0,2.0,0.8461906418364188,HHHH (15)
MIX0,4.0,0.8478420389402207,HHHH (15)
MIX0,8.0,0.8689322917042929,HHHH (15)
MIX0,16.0,0.8750558295767673,HHHH (15)
MIX1,1.0,0.8728946414479624,HHHH (15)
MIX1,2.0,0.8239705574292376,HHHH (15)
MIX1,4.0,0.8211444201984431,HHHH (15)
MIX1,8.0,0.8416934712031031,HHHH (15)
MIX1,16.0,0.8529853234625423,HHHH (15)
MIX10,1.0,0.8616843480712428,HHHH (15)
MIX10,2.0,0.8458769233971237,HHHH (15)
MIX10,4.0,0.8579342442263329,HHHH (15)
MIX10,8.0,0.8818003526717081,HHHH (15)
MIX10,16.0,0.8889582205632549,HHHH (15)
MIX11,1.0,0.8910661622977465,HHHH (15)
MIX11,2.0,0.841691195349493,HHHH (15)
MIX11,4.0,0.8304063508671166,HHHH (15)
MIX11,8.0,0.8502365441365927,HHHH (15)
MIX11,16.0,0.8631559514782484,HHHH (15)
MIX12,1.0,0.8546832898944929,HHHH (15)
MIX12,2.0,0.8562581813870358,HHHH (15)
MIX12,4.0,0.8742740662633058,HHHH (15)
MIX12,8.0,0.8862943987278253,HHHH (15)
MIX12,16.0,0.9056686048565028,HHHH (15)
MIX13,1.0,0.8562439250992065,HHHH (15)
MIX13,2.0,0.8297236654775452,HHHH (15)
MIX13,4.0,0.8356355906908014,HHHH (15)
MIX13,8.0,0.8546573907386447,HHHH (15)
MIX13,16.0,0.86332935601829,HHHH (15)
MIX14,1.0,0.8597040831340088,HHHH (15)
MIX14,2.0,0.8413953615133628,HHHH (15)
MIX14,4.0,0.8594135633089429,HHHH (15)
MIX14,8.0,0.8800417875258321,HHHH (15)
MIX14,16.0,0.8878554103182337,HHHH (15)
MIX15,1.0,0.9174089091078337,MMMM (15)
MIX15,2.0,0.9351245689498214,MMMM (15)
MIX15,4.0,0.9487557539382615,MMMM (15)
MIX15,8.0,0.9578283505444704,MMMM (15)
MIX15,16.0,0.9706662845659593,MMMM (15)
MIX16,1.0,0.8726450538805831,MMMM (15)
MIX16,2.0,0.8780352941101991,MMMM (15)
MIX16,4.0,0.9024191876839734,MMMM (15)
MIX16,8.0,0.9202610620299548,MMMM (15)
MIX16,16.0,0.9364636530758533,MMMM (15)
MIX17,1.0,0.9020817835154864,MMMM (15)
MIX17,2.0,0.911916798788577,MMMM (15)
MIX17,4.0,0.9274241584732605,MMMM (15)
MIX17,8.0,0.9403874092396425,MMMM (15)
MIX17,16.0,0.9557290933623456,MMMM (15)
MIX18,1.0,0.9116908007128472,MMMM (15)
MIX18,2.0,0.929315388736016,MMMM (15)
MIX18,4.0,0.9459549999159063,MMMM (15)
MIX18,8.0,0.9611675518387267,MMMM (15)
MIX18,16.0,0.9694200719212984,MMMM (15)
MIX19,1.0,0.8832567612409333,MMMM (15)
MIX19,2.0,0.8981619247057081,MMMM (15)
MIX19,4.0,0.9260285400127511,MMMM (15)
MIX19,8.0,0.9459460170115387,MMMM (15)
MIX19,16.0,0.9610749227669895,MMMM (15)
MIX2,1.0,0.8426583796605012,HHHH (15)
MIX2,2.0,0.8364787438604065,HHHH (15)
MIX2,4.0,0.8606460103075397,HHHH (15)
MIX2,8.0,0.8801971276188947,HHHH (15)
MIX2,16.0,0.894655652725618,HHHH (15)
MIX20,1.0,0.8716472865814022,MMMM (15)
MIX20,2.0,0.885355292231076,MMMM (15)
MIX20,4.0,0.905118747273671,MMMM (15)
MIX20,8.0,0.9255213301701443,MMMM (15)
MIX20,16.0,0.9408600716910394,MMMM (15)
MIX21,1.0,0.8653898397530747,MMMM (15)
MIX21,2.0,0.8883281852388045,MMMM (15)
MIX21,4.0,0.9114221430119591,MMMM (15)
MIX21,8.0,0.924653437966971,MMMM (15)
MIX21,16.0,0.940180370550156,MMMM (15)
MIX22,1.0,0.8705734324304006,MMMM (15)
MIX22,2.0,0.8875537977571646,MMMM (15)
MIX22,4.0,0.9113927693316076,MMMM (15)
MIX22,8.0,0.9317466210445612,MMMM (15)
MIX22,16.0,0.9473209527290649,MMMM (15)
MIX23,1.0,0.8865247400064441,MMMM (15)
MIX23,2.0,0.9107005949231608,MMMM (15)
MIX23,4.0,0.9360561795591054,MMMM (15)
MIX23,8.0,0.9524324312401704,MMMM (15)
MIX23,16.0,0.9639716862692428,MMMM (15)
MIX24,1.0,0.8884791564149257,MMMM (15)
MIX24,2.0,0.9113998234683434,MMMM (15)
MIX24,4.0,0.9352519526221293,MMMM (15)
MIX24,8.0,0.9475262579884327,MMMM (15)
MIX24,16.0,0.9572464447435105,MMMM (15)
MIX25,1.0,0.8872067508114229,MMMM (15)
MIX25,2.0,0.9109024026520076,MMMM (15)
MIX25,4.0,0.9251248668886283,MMMM (15)
MIX25,8.0,0.9331706980244227,MMMM (15)
MIX25,16.0,0.9548378440999158,MMMM (15)
MIX26,1.0,0.8732446617972518,MMMM (15)
MIX26,2.0,0.8919568818863473,MMMM (15)
MIX26,4.0,0.9214593791162511,MMMM (15)
MIX26,8.0,0.9399103607988725,MMMM (15)
MIX26,16.0,0.9530764657095832,MMMM (15)
MIX27,1.0,0.8698706037747173,MMMM (15)
MIX27,2.0,0.8918093084894748,MMMM (15)
MIX27,4.0,0.9198661908578876,MMMM (15)
MIX27,8.0,0.9420554570595788,MMMM (15)
MIX27,16.0,0.9549393503350374,MMMM (15)
MIX28,1.0,0.889338056474641,MMMM (15)
MIX28,2.0,0.9139238744453082,MMMM (15)
MIX28,4.0,0.9404491617887474,MMMM (15)
MIX28,8.0,0.943228536385786,MMMM (15)
MIX28,16.0,0.951838897379714,MMMM (15)
MIX29,1.0,0.8795940599630583,MMMM (15)
MIX29,2.0,0.8996319834336114,MMMM (15)
MIX29,4.0,0.9224924759276116,MMMM (15)
MIX29,8.0,0.9260703391749062,MMMM (15)
MIX29,16.0,0.9433914813578499,MMMM (15)
MIX3,1.0,0.8677800323809222,HHHH (15)
MIX3,2.0,0.822066787167199,HHHH (15)
MIX3,4.0,0.8241341284378685,HHHH (15)
MIX3,8.0,0.8443207968314731,HHHH (15)
MIX3,16.0,0.8564552069765374,HHHH (15)
MIX30,1.0,0.9853884012596822,LLLL (15)
MIX30,2.0,0.9896952888205052,LLLL (15)
MIX30,4.0,0.9919966923809268,LLLL (15)
MIX30,8.0,0.9958548686752275,LLLL (15)
MIX30,16.0,0.9973510865413484,LLLL (15)
MIX31,1.0,0.9897357786256261,LLLL (15)
MIX31,2.0,0.9901499299624934,LLLL (15)
MIX31,4.0,0.9924461307278457,LLLL (15)
MIX31,8.0,0.9953787298843079,LLLL (15)
MIX31,16.0,0.9970069695268304,LLLL (15)
MIX32,1.0,0.9804281698598502,LLLL (15)
MIX32,2.0,0.9843421402824565,LLLL (15)
MIX32,4.0,0.9890789088355195,LLLL (15)
MIX32,8.0,0.9928051827462755,LLLL (15)
MIX32,16.0,0.9957325838270512,LLLL (15)
MIX33,1.0,0.978326589257067,LLLL (15)
MIX33,2.0,0.9833802437525928,LLLL (15)
MIX33,4.0,0.9887697038787344,LLLL (15)
MIX33,8.0,0.9919886356996008,LLLL (15)
MIX33,16.0,0.9944490565719215,LLLL (15)
MIX34,1.0,0.9678805949633538,LLLL (15)
MIX34,2.0,0.9757528629139425,LLLL (15)
MIX34,4.0,0.9842691277297719,LLLL (15)
MIX34,8.0,0.9896027471283596,LLLL (15)
MIX34,16.0,0.9936169817477346,LLLL (15)
MIX35,1.0,0.9854394331139689,LLLL (15)
MIX35,2.0,0.9900280963951309,LLLL (15)
MIX35,4.0,0.9926967574303558,LLLL (15)
MIX35,8.0,0.9947063750832149,LLLL (15)
MIX35,16.0,0.9969714810406494,LLLL (15)
MIX36,1.0,0.9923828498569051,LLLL (15)
MIX36,2.0,0.9936790725819626,LLLL (15)
MIX36,4.0,0.9959676802283789,LLLL (15)
MIX36,8.0,0.9970627807013769,LLLL (15)
MIX36,16.0,0.9982354136985979,LLLL (15)
MIX37,1.0,0.9806638817862702,LLLL (15)
MIX37,2.0,0.986093407222516,LLLL (15)
MIX37,4.0,0.99030721382401,LLLL (15)
MIX37,8.0,0.9938889707162974,LLLL (15)
MIX37,16.0,0.9960657287595782,LLLL (15)
MIX38,1.0,0.9652886102783446,LLLL (15)
MIX38,2.0,0.9729543708687384,LLLL (15)
MIX38,4.0,0.9808837818083161,LLLL (15)
MIX38,8.0,0.9881490284074413,LLLL (15)
MIX38,16.0,0.9923081336456051,LLLL (15)
MIX39,1.0,0.9766027193747375,LLLL (15)
MIX39,2.0,0.9819294727741534,LLLL (15)
MIX39,4.0,0.9877505596387571,LLLL (15)
MIX39,8.0,0.9911990164981744,LLLL (15)
MIX39,16.0,0.9943788576443793,LLLL (15)
MIX4,1.0,0.86751046937753,HHHH (15)
MIX4,2.0,0.8507469961158276,HHHH (15)
MIX4,4.0,0.8674801241108951,HHHH (15)
MIX4,8.0,0.8822065077116384,HHHH (15)
MIX4,16.0,0.8897272954264985,HHHH (15)
MIX40,1.0,0.9600830899209516,LLLL (15)
MIX40,2.0,0.9698675814111193,LLLL (15)
MIX40,4.0,0.9763365649905978,LLLL (15)
MIX40,8.0,0.9889858605999815,LLLL (15)
MIX40,16.0,0.990726231610669,LLLL (15)
MIX41,1.0,0.9811074296919154,LLLL (15)
MIX41,2.0,0.9857411099022526,LLLL (15)
MIX41,4.0,0.9906362510401502,LLLL (15)
MIX41,8.0,0.9928100399478084,LLLL (15)
MIX41,16.0,0.9934467345596384,LLLL (15)
MIX42,1.0,0.9737832197136236,LLLL (15)
MIX42,2.0,0.9807137756931608,LLLL (15)
MIX42,4.0,0.9850192452092638,LLLL (15)
MIX42,8.0,0.9916502271384524,LLLL (15)
MIX42,16.0,0.9932546895532868,LLLL (15)
MIX43,1.0,0.9971400677605194,LLLL (15)
MIX43,2.0,0.9978381873486244,LLLL (15)
MIX43,4.0,0.9985247955839881,LLLL (15)
MIX43,8.0,0.998754457554353,LLLL (15)
MIX43,16.0,0.9991216055383074,LLLL (15)
MIX44,1.0,0.9862239350608897,LLLL (15)
MIX44,2.0,0.9900928419351674,LLLL (15)
MIX44,4.0,0.9928453395765316,LLLL (15)
MIX44,8.0,0.9954932464712711,LLLL (15)
MIX44,16.0,0.9967297474478694,LLLL (15)
MIX45,1.0,0.8749602746094055,HHMM (15)
MIX45,2.0,0.855811684329409,HHMM (15)
MIX45,4.0,0.8657648261249771,HHMM (15)
MIX45,8.0,0.8834137966734491,HHMM (15)
MIX45,16.0,0.9004920041021475,HHMM (15)
MIX46,1.0,0.8700777055367346,HHMM (15)
MIX46,2.0,0.867191806035944,HHMM (15)
MIX46,4.0,0.884006550549565,HHMM (15)
MIX46,8.0,0.8990199054252227,HHMM (15)
MIX46,16.0,0.9102557648020914,HHMM (15)
MIX47,1.0,0.8657737343124565,HHMM (15)
MIX47,2.0,0.874714487626457,HHMM (15)
MIX47,4.0,0.8980058099212451,HHMM (15)
MIX47,8.0,0.9155823572562799,HHMM (15)
MIX47,16.0,0.9250044390959515,HHMM (15)
MIX48,1.0,0.8974801748513798,HHMM (15)
MIX48,2.0,0.8630856479168657,HHMM (15)
MIX48,4.0,0.8724443110147294,HHMM (15)
MIX48,8.0,0.8893634271024369,HHMM (15)
MIX48,16.0,0.9070628234959255,HHMM (15)
MIX49,1.0,0.8643413350187464,HHMM (15)
MIX49,2.0,0.8637091783572775,HHMM (15)
MIX49,4.0,0.8822486403467765,HHMM (15)
MIX49,8.0,0.9023465429151275,HHMM (15)
MIX49,16.0,0.9122113206079777,HHMM (15)
MIX5,1.0,0.8759225411348539,HHHH (15)
MIX5,2.0,0.8588934134368149,HHHH (15)
MIX5,4.0,0.8785174598946605,HHHH (15)
MIX5,8.0,0.8855268042679448,HHHH (15)
MIX5,16.0,0.8941290111110974,HHHH (15)
MIX50,1.0,0.9053626330326177,HHMM (15)
MIX50,2.0,0.9065090710452881,HHMM (15)
MIX50,4.0,0.9286222290375878,HHMM (15)
MIX50,8.0,0.9441886097288601,HHMM (15)
MIX50,16.0,0.9536421051954198,HHMM (15)
MIX51,1.0,0.8736050757048183,HHMM (15)
MIX51,2.0,0.86302510632903,HHMM (15)
MIX51,4.0,0.8767194811889201,HHMM (15)
MIX51,8.0,0.8955680400628244,HHMM (15)
MIX51,16.0,0.9060048515607584,HHMM (15)
MIX52,1.0,0.8774291615585235,HHMM (15)
MIX52,2.0,0.8553003366448445,HHMM (15)
MIX52,4.0,0.8634240592793248,HHMM (15)
MIX52,8.0,0.8811767473606495,HHMM (15)
MIX52,16.0,0.8944403577948301,HHMM (15)
MIX53,1.0,0.881568036453496,HHMM (15)
MIX53,2.0,0.8984385415862451,HHMM (15)
MIX53,4.0,0.9119691283238374,HHMM (15)
MIX53,8.0,0.9297957953699614,HHMM (15)
MIX53,16.0,0.9406709726333323,HHMM (15)
MIX54,1.0,0.8684450842218061,HHMM (15)
MIX54,2.0,0.8828727996299642,HHMM (15)
MIX54,4.0,0.913385703736177,HHMM (15)
MIX54,8.0,0.9307624626952457,HHMM (15)
MIX54,16.0,0.9390992959648329,HHMM (15)
MIX55,1.0,0.8566335240644466,HHMM (15)
MIX55,2.0,0.8633406475105053,HHMM (15)
MIX55,4.0,0.8931653550100594,HHMM (15)
MIX55,8.0,0.9030715178674654,HHMM (15)
MIX55,16.0,0.9245731657146583,HHMM (15)
MIX56,1.0,0.9112629368556321,HHMM (15)
MIX56,2.0,0.9100018537017929,HHMM (15)
MIX56,4.0,0.9218454376214009,HHMM (15)
