Chip,act_TBRFM,R1,max_NRH
32Gb,10,126568,118
32Gb,12,128394,143
32Gb,21,129377,254
32Gb,26,129208,316
32Gb,43,128057,525
32Gb,49,130913,600
32Gb,50,128475,612
32Gb,60,129183,736
32Gb,110,130294,1354
32Gb,127,130680,1564
32Gb,244,130590,3010
32Gb,261,130672,3220
32Gb,530,130983,6546
32Gb,544,131014,6719
