workload,Benchmark_Types,Nrh,prac-level,Mitigations,WS
MMLL-0,MMLL (15),1024.0,1.0,TPRAC,0.9877172279258088
MMLL-1,MMLL (15),1024.0,1.0,TPRAC,0.9878904012312986
MMLL-2,MMLL (15),1024.0,1.0,TPRAC,0.9823546984438762
MMLL-3,MMLL (15),1024.0,1.0,TPRAC,0.9822300634190634
MMLL-4,MMLL (15),1024.0,1.0,TPRAC,0.9810396558289312
MMMM-0,MMMM (15),1024.0,1.0,ABO-Only,1.0
MMMM-1,MMMM (15),1024.0,1.0,ABO-Only,1.0
MMMM-2,MMMM (15),1024.0,1.0,ABO-Only,1.0
MMMM-3,MMMM (15),1024.0,1.0,ABO-Only,1.0
MMMM-4,MMMM (15),1024.0,1.0,ABO-Only,1.0
MMMM-0,MMMM (15),1024.0,1.0,ABO+ACB-RFM,0.9967033720128244
MMMM-1,MMMM (15),1024.0,1.0,ABO+ACB-RFM,0.9936796249329084
MMMM-2,MMMM (15),1024.0,1.0,ABO+ACB-RFM,0.9985609501786994
MMMM-3,MMMM (15),1024.0,1.0,ABO+ACB-RFM,0.9955197274386888
MMMM-4,MMMM (15),1024.0,1.0,ABO+ACB-RFM,0.994351242019627
MMMM-0,MMMM (15),1024.0,1.0,TPRAC,0.9839513193993992
MMMM-1,MMMM (15),1024.0,1.0,TPRAC,0.9766033813090024
MMMM-2,MMMM (15),1024.0,1.0,TPRAC,0.9823070518809984
MMMM-3,MMMM (15),1024.0,1.0,TPRAC,0.9771298503486368
MMMM-4,MMMM (15),1024.0,1.0,TPRAC,0.9803301046539816
